0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Pd:852.6,Si:564.5,W_:562.7,In:546.0,Pt:518.5,Sn:428.4,Fe:400.6,Sn:400.4,Sb:327.9,Zr:254.6,K :248.1,Ti:213.1,Zr:209.3,Ta:166.3,,,,,,,,,,,,,
Cu:8747.5,K :1088.2,K :893.3,I_:478.3,Fe:393.5,S :374.1,Pd:259.0,Pd:257.7,V_:256.8,W_:209.2,Pt:178.8,Sn:177.6,Zr:177.0,Pb:176.2,Zr:156.6,,,,,,,,,,,,
Ti:555.9,Nb:528.4,Fe:391.0,Ni:257.1,Pb:208.8,,,,,,,,,,,,,,,,,,,,,,
Nb:836.6,Ti:681.4,Ni:491.5,Pd:420.0,Fe:384.4,W_:307.2,K :244.1,Al:235.1,Sn:208.5,Mo:198.1,S :178.9,Zn:171.3,I_:167.4,,,,,,,,,,,,,,
Zr:421.1,Fe:358.7,Sb:281.7,K :276.6,Ta:199.9,Ni:187.4,P :171.6,Zn:167.7,I_:166.8,,,,,,,,,,,,,,,,,,
V_:1851.7,Nb:1798.8,V_:1497.2,Ni:691.2,Si:480.4,Si:420.5,Pd:401.1,Fe:357.6,K :305.5,Mo:298.2,Zr:260.5,Ta:258.6,S :246.7,Sb:245.9,Ge:194.0,Zn:154.4,,,,,,,,,,,
Ti:884.7,W_:775.7,Pd:541.7,Pt:483.6,In:456.8,Ta:411.5,S :395.1,Si:379.0,Fe:352.0,Zr:348.4,Sn:348.2,Sb:340.7,I_:257.1,Sb:255.4,K :231.8,Bi:171.8,,,,,,,,,,,
Mo:3736.0,Nb:528.4,Ca:405.2,Fe:332.3,Pb:201.0,,,,,,,,,,,,,,,,,,,,,,
Nb:4130.7,Ni:2083.5,W_:328.3,Fe:311.6,Ta:220.0,In:181.0,Sn:179.6,Pd:176.9,Si:150.4,,,,,,,,,,,,,,,,,,
Fe:296.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu:5098.6,Nb:1830.0,Ti:1612.7,Ni:1006.4,S :297.5,Fe:291.5,In:281.2,Sn:253.0,Pd:221.9,Pt:206.7,Ge:172.9,Zr:158.8,,,,,,,,,,,,,,,
Fe:280.8,Ti:270.6,,,,,,,,,,,,,,,,,,,,,,,,,
Pd:593.0,Zr:525.4,Ti:506.1,S :466.6,I_:415.1,Si:346.0,Sb:311.6,In:286.7,Pt:283.1,Fe:272.3,K :254.4,Mo:189.4,,,,,,,,,,,,,,,
I_:1606.3,W_:694.5,In:395.3,Pt:356.5,Pd:351.3,Si:340.1,Sb:329.3,Sn:290.8,Fe:272.1,K :218.1,S :169.8,,,,,,,,,,,,,,,,
Nb:2033.5,Ni:769.7,V_:474.7,Fe:270.5,Ta:209.5,Pd:186.2,Sn:170.9,Au:169.7,Pt:154.7,,,,,,,,,,,,,,,,,,
Pt:929.5,W_:336.8,Fe:269.8,Si:219.2,Zr:192.0,In:169.5,Mo:169.4,,,,,,,,,,,,,,,,,,,,
Ti:552.3,Pd:496.9,Ta:411.5,S :318.6,Fe:258.7,I_:257.1,Sb:255.4,K :231.8,,,,,,,,,,,,,,,,,,,
Ca:4159.1,Fe:248.2,Ni:189.2,,,,,,,,,,,,,,,,,,,,,,,,
Ti:641.9,V_:321.8,Ta:313.7,Fe:246.7,In:183.6,W_:157.2,,,,,,,,,,,,,,,,,,,,,
Ti:494.5,Pt:352.2,Nb:294.5,Fe:245.1,Sn:241.3,Pd:197.8,S :197.0,Ta:186.4,In:165.0,,,,,,,,,,,,,,,,,,
Pd:377.4,W_:358.1,Sb:289.1,Pt:273.8,Si:263.9,Sn:250.4,Fe:244.1,S :227.2,In:212.8,Ta:212.0,I_:200.0,Ti:170.4,K :150.9,,,,,,,,,,,,,,
Ti:852.6,S :572.2,Mo:475.1,Fe:237.6,Ta:205.0,Ca:193.3,Ta:186.4,,,,,,,,,,,,,,,,,,,,
Nb:1769.9,Ni:979.2,Mo:643.7,K :493.1,Sn:433.8,Ti:262.9,Fe:236.1,Ta:206.7,W_:182.9,Pb:180.1,Si:178.9,Pt:176.2,Zr:162.0,,,,,,,,,,,,,,
W_:282.5,Ti:265.5,Sn:251.8,In:241.1,Fe:230.9,Pd:225.1,Pt:166.4,Sb:160.3,Zr:157.9,,,,,,,,,,,,,,,,,,
Zr:732.9,Ti:494.5,Pt:427.0,W_:283.7,Fe:228.4,Pd:219.9,Sb:171.5,Si:156.1,,,,,,,,,,,,,,,,,,,
W_:309.9,Ti:253.3,Fe:227.2,Pt:217.1,,,,,,,,,,,,,,,,,,,,,,,
Nb:2795.3,Ni:1530.1,Ti:1073.0,P :347.5,P :322.1,Cu:302.5,Fe:226.2,Sn:199.5,W_:192.3,Pd:160.4,Pd:152.6,,,,,,,,,,,,,,,,
Ti:996.9,Nb:599.1,Ni:472.2,In:350.2,Co:306.9,Sn:237.2,Fe:222.9,Pd:219.9,Ag:207.4,W_:178.9,Sb:171.5,Sb:169.8,Ca:165.0,Si:156.1,,,,,,,,,,,,,
Ti:775.4,Cr:717.9,Nb:458.6,Ni:291.2,Fe:221.8,Al:199.0,Si:194.7,W_:178.8,In:165.2,,,,,,,,,,,,,,,,,,
I_:2545.9,Sb:488.6,Nb:340.2,In:226.8,Fe:218.4,W_:213.6,Sn:153.6,In:151.2,,,,,,,,,,,,,,,,,,,
V_:1851.7,Ti:658.5,Si:420.5,W_:351.4,In:346.4,Sn:306.9,Si:296.1,Sb:291.5,Ta:258.6,Fe:216.8,K :159.0,Zr:156.1,,,,,,,,,,,,,,,
Nb:797.9,S :418.1,Ni:266.4,Zr:234.1,Sn:216.8,Fe:214.9,Pt:203.3,Zr:200.3,Si:158.1,,,,,,,,,,,,,,,,,,
Ti:342.1,Ti:312.0,Nb:259.1,P :228.2,Fe:209.5,Sb:183.9,,,,,,,,,,,,,,,,,,,,,
Nb:2443.0,Ni:1221.0,Ge:748.2,Ge:657.0,Zr:392.6,S :245.4,Sb:231.0,I_:224.3,Ta:223.8,Sb:207.6,Fe:207.4,Pb:185.9,W_:184.0,In:181.1,Si:165.8,K :161.5,,,,,,,,,,,
Ca:4236.6,V_:518.8,Nb:227.2,K :206.6,Fe:204.1,I_:200.9,Pt:181.1,Pb:165.2,W_:161.9,Sb:161.3,In:158.2,,,,,,,,,,,,,,,,
Nb:356.6,I_:305.4,Fe:201.2,Ni:181.6,S :155.7,,,,,,,,,,,,,,,,,,,,,,
In:1084.3,Ti:983.0,I_:546.4,Ni:455.6,Ca:323.5,Cr:278.1,P :274.8,Zr:223.7,Sn:204.9,Fe:198.0,W_:187.8,Bi:173.5,Pt:171.5,Pd:167.5,Sb:151.8,,,,,,,,,,,,
W_:1054.9,Ti:691.2,Nb:499.4,K :479.9,Sn:298.6,In:221.9,Fe:194.1,Pt:170.5,Pd:168.3,S :167.9,Ta:156.1,,,,,,,,,,,,,,,,
Nb:836.6,Pd:420.0,K :328.4,W_:307.2,K :244.1,Al:235.1,Mo:198.1,Fe:192.9,Sn:184.0,S :178.9,Cu:164.3,,,,,,,,,,,,,,,,
Ag:6718.5,Bi:4512.6,Zr:493.7,S :349.6,Si:295.5,Pt:292.0,Pd:278.7,Sb:266.5,Si:254.3,Sn:247.5,Ge:197.7,Fe:192.2,I_:180.6,V_:171.1,Ge:169.7,Ni:159.8,,,,,,,,,,,
Pt:929.5,Ni:317.9,Zr:196.8,Fe:186.8,I_:167.2,Si:162.6,,,,,,,,,,,,,,,,,,,,,
Ca:3004.9,Ni:471.4,Fe:186.2,Zr:180.8,Mo:166.8,W_:162.9,I_:152.8,Sb:150.1,,,,,,,,,,,,,,,,,,,
V_:564.2,Zr:201.3,Fe:186.2,W_:172.5,Nb:170.5,Ti:161.9,,,,,,,,,,,,,,,,,,,,,
V_:752.8,W_:200.2,Fe:182.3,Sb:179.0,Sn:164.7,,,,,,,,,,,,,,,,,,,,,,
V_:2807.7,Nb:1582.9,Ni:718.5,Ti:445.0,W_:270.0,In:200.3,Pt:186.6,Mo:183.2,Fe:181.1,K :179.3,Pd:173.0,I_:167.7,Zr:162.7,,,,,,,,,,,,,,
W_:1056.9,Ti:732.8,Ta:272.6,Si:225.4,S :217.6,Fe:179.6,Pt:179.4,Zr:171.5,Sn:159.8,,,,,,,,,,,,,,,,,,
Ta:716.8,S :646.8,V_:493.2,Pt:242.2,Zr:221.0,Si:189.8,Fe:179.4,Bi:151.0,,,,,,,,,,,,,,,,,,,
Ti:555.6,K :551.0,V_:477.8,Fe:174.9,Pd:162.4,,,,,,,,,,,,,,,,,,,,,,
Sb:397.7,Mo:364.5,Ta:353.9,Si:183.6,Fe:169.8,Zn:156.6,,,,,,,,,,,,,,,,,,,,,
Fe:168.3,Sn:156.8,W_:156.4,Pd:155.6,,,,,,,,,,,,,,,,,,,,,,,
Mo:791.6,Ti:640.4,W_:527.3,Pt:242.2,Sn:211.6,Si:201.5,Zr:193.5,Pd:192.3,Pb:178.1,Fe:166.1,,,,,,,,,,,,,,,,,
Nb:4740.9,Zr:3896.9,Ca:2356.8,Ni:1716.7,Ta:337.6,W_:329.6,Ti:272.9,In:219.5,Fe:162.8,,,,,,,,,,,,,,,,,,
Bi:979.2,Al:733.3,Nb:294.4,Ge:277.6,Zr:223.4,Cu:192.6,W_:170.1,Au:168.8,Fe:161.2,,,,,,,,,,,,,,,,,,
Nb:1139.1,Ni:643.6,Zr:388.0,Pb:295.1,Pb:225.8,Fe:160.2,,,,,,,,,,,,,,,,,,,,,
Cu:5098.6,Nb:1830.0,Ni:1006.4,Zr:756.3,Ta:360.9,Pt:293.9,In:177.1,W_:173.8,Fe:159.7,,,,,,,,,,,,,,,,,,
Ti:4247.0,W_:980.5,Ca:481.3,Ni:197.3,S :196.6,Pt:167.4,Fe:158.3,,,,,,,,,,,,,,,,,,,,
Nb:378.4,Ni:289.3,C_:286.9,Nb:280.9,Sn:265.9,Sb:222.1,Si:161.1,W_:159.3,Fe:157.4,Bi:151.9,,,,,,,,,,,,,,,,,
Nb:1212.2,Ti:934.4,Ni:573.2,K :215.6,Ta:208.9,Fe:157.2,Zn:152.6,,,,,,,,,,,,,,,,,,,,
Ti:5482.7,S :523.1,Nb:395.0,W_:388.4,Ta:322.3,Si:257.8,Co:245.7,In:237.3,Pd:234.9,V_:224.3,Sn:214.8,Zr:205.5,Pt:193.3,Ni:172.2,Ge:169.8,Fe:157.0,Mo:151.2,,,,,,,,,,
W_:324.2,Pd:232.5,Ti:204.6,Pt:184.5,Fe:156.6,,,,,,,,,,,,,,,,,,,,,,
Nb:2474.2,Ti:1674.0,Ni:1161.4,In:405.1,Pd:274.4,Pb:191.3,Pt:161.5,Fe:156.5,,,,,,,,,,,,,,,,,,,
V_:557.3,W_:312.0,Co:272.3,Ta:265.7,Sn:226.9,In:224.8,Sb:191.1,Ta:181.0,Cu:160.1,Fe:155.6,,,,,,,,,,,,,,,,,
Ti:4453.7,Ca:3873.4,Ta:349.0,Sn:319.4,I_:291.4,Nb:264.0,Zr:180.8,Fe:154.1,Sb:150.1,,,,,,,,,,,,,,,,,,
Mo:492.8,Si:316.4,Cu:283.6,S :273.4,Zr:266.1,I_:259.5,Pb:251.4,Sb:246.7,Pt:244.6,Pd:209.3,In:183.0,P :179.9,Sn:178.1,Ge:175.1,K :158.4,I_:156.7,Fe:153.3,,,,,,,,,,
Mo:5661.1,Ti:860.7,Nb:638.1,Ni:371.4,I_:313.9,In:169.9,Si:167.1,Fe:152.3,,,,,,,,,,,,,,,,,,,
Ti:3083.1,Ni:443.6,Pd:339.5,In:301.3,Pt:283.3,In:281.9,Sb:275.7,Sb:272.8,Sn:272.6,Sn:268.3,K :257.0,Si:227.3,K :207.3,I_:167.2,I_:154.2,W_:152.8,Fe:151.3,,,,,,,,,,
