0,1,2,3,4,5
Zn| 1.00:1.00,Ge| 0.32:0.42,P | 0.32:0.38,C_| 0.27:0.17,Bi| 0.25:0.46,Cr| 0.20:0.08
Si| 0.18:0.71,Al| 0.18:0.08,K | 0.17:0.62,Pd| 0.16:0.67,Sb| 0.16:0.67,I_| 0.15:0.54
Fe| 0.15:0.58,Pt| 0.13:0.42,Sn| 0.12:0.50,S | 0.12:0.58,In| 0.12:0.54,Cu| 0.12:0.12
Zr| 0.11:0.58,Ta| 0.11:0.50,Ca| 0.09:0.29,Mo| 0.09:0.25,Pb| 0.09:0.17,Nb| 0.09:0.71
Ni| 0.09:0.50,V_| 0.07:0.25,W_| 0.04:0.29,Ti| 0.03:0.46,,
,,,,,
