0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Zr:892.2,Fe:686.7,V_:357.7,W_:240.9,P :186.2,K :186.2,S :173.2,Si:173.2,Pd:167.5,I_:158.3,S :154.6,,,,,,,,,,,
Cu:6008.6,W_:425.7,V_:346.6,S :221.9,,,,,,,,,,,,,,,,,,
Ti:557.8,V_:326.2,Nb:166.0,,,,,,,,,,,,,,,,,,,
Ti:641.9,V_:321.8,Ta:313.7,Fe:246.7,In:183.6,W_:157.2,,,,,,,,,,,,,,,,
Ti:3468.9,Nb:1419.7,Zr:1320.3,Ni:741.3,Au:507.2,V_:313.2,Cd:288.6,Pt:250.8,S :211.4,Ge:204.8,W_:200.5,S :176.1,I_:154.4,Ge:150.8,Sb:150.6,,,,,,,
Ti:1380.3,V_:311.9,,,,,,,,,,,,,,,,,,,,
Nb:818.5,K :704.3,Ti:639.6,Fe:557.7,Ni:484.3,P :442.0,V_:296.9,W_:169.9,In:165.8,,,,,,,,,,,,,
Ti:3630.0,Ta:513.0,V_:295.4,Zr:242.8,Ca:154.0,,,,,,,,,,,,,,,,,
V_:283.5,,,,,,,,,,,,,,,,,,,,,
Si:2711.9,Nb:1450.2,Zn:1202.7,P :993.2,Ni:445.8,V_:278.6,,,,,,,,,,,,,,,,
Sn:2840.4,V_:266.9,Ti:211.0,,,,,,,,,,,,,,,,,,,
Cu:8747.5,Nb:1427.2,K :1088.2,Ni:700.2,I_:478.3,Fe:393.5,Mo:351.1,Ta:303.0,Pd:259.0,V_:256.8,W_:209.2,Pt:178.8,Sn:177.6,Pb:176.2,Zr:156.6,,,,,,,
Sb:2852.8,Ca:321.9,V_:256.7,S :153.6,,,,,,,,,,,,,,,,,,
V_:247.8,Ta:237.8,Zr:226.0,Sb:160.8,,,,,,,,,,,,,,,,,,
V_:241.8,Zr:220.0,Ca:212.6,,,,,,,,,,,,,,,,,,,
I_:3324.4,Nb:3064.1,Ni:1542.7,Al:255.5,V_:235.7,Ta:173.5,,,,,,,,,,,,,,,,
W_:1733.8,Nb:328.9,V_:234.9,,,,,,,,,,,,,,,,,,,
V_:224.3,,,,,,,,,,,,,,,,,,,,,
K :893.3,S :523.1,W_:388.4,S :374.1,Ta:322.3,Si:257.8,Pd:257.7,Co:245.7,In:237.3,V_:224.3,Sn:214.8,Zr:205.5,Pt:193.3,Zr:177.0,Ni:172.2,Ge:169.8,Fe:157.0,Mo:151.2,,,,
V_:217.0,Nb:212.3,S :161.4,Pd:157.0,,,,,,,,,,,,,,,,,,
Nb:333.7,Ti:296.1,V_:214.2,Ca:185.4,S :151.6,,,,,,,,,,,,,,,,,
Ti:859.5,Ta:469.9,V_:212.9,W_:159.9,,,,,,,,,,,,,,,,,,
Ti:273.6,V_:210.8,Ta:204.1,,,,,,,,,,,,,,,,,,,
Nb:642.2,I_:548.3,Ni:350.0,Ta:323.2,V_:206.9,,,,,,,,,,,,,,,,,
Ti:1117.2,Ti:742.6,In:382.9,V_:205.5,K :188.3,W_:150.8,,,,,,,,,,,,,,,,
Ti:416.9,V_:203.2,,,,,,,,,,,,,,,,,,,,
V_:203.0,Nb:192.0,Sb:175.2,K :171.2,,,,,,,,,,,,,,,,,,
Fe:1407.4,Cr:227.3,Ta:224.4,V_:202.0,Ti:193.9,Pt:163.0,,,,,,,,,,,,,,,,
Ti:765.6,S :572.2,W_:238.2,Ta:205.0,V_:200.7,,,,,,,,,,,,,,,,,
Ca:1925.3,V_:197.6,W_:166.9,,,,,,,,,,,,,,,,,,,
V_:196.0,S :160.6,In:150.5,,,,,,,,,,,,,,,,,,,
Ti:275.0,V_:175.3,,,,,,,,,,,,,,,,,,,,
Nb:755.6,Ta:739.7,Ni:288.3,V_:174.7,,,,,,,,,,,,,,,,,,
Ti:820.0,Mo:283.3,Si:236.7,Ta:175.1,V_:171.3,W_:170.5,,,,,,,,,,,,,,,,
Ag:6718.5,Bi:4512.6,Cr:1707.4,S :349.6,S :326.6,Si:295.5,Pt:292.0,Pd:278.7,Sn:247.5,W_:236.5,Ge:197.7,Fe:192.2,I_:180.6,V_:171.1,Ni:159.8,,,,,,,
Fe:1217.3,Nb:874.0,Ni:386.4,Ag:250.5,Zr:229.0,Ge:227.7,Pt:185.1,V_:170.4,Bi:169.4,Cr:167.8,Pd:163.4,,,,,,,,,,,
Nb:187.6,V_:169.3,Zn:166.5,Ti:159.9,,,,,,,,,,,,,,,,,,
Ca:3961.3,Mo:687.9,Nb:499.1,Ni:325.6,W_:303.1,S :205.6,Au:203.9,V_:162.8,Ta:155.8,,,,,,,,,,,,,
