0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Ti:1250.6,Nb:913.9,Fe:539.0,Ni:441.5,W_:321.4,K :304.9,Sn:236.9,Pd:236.2,I_:212.3,Zr:190.2,Si:178.5,In:168.9,Sb:165.8,,,,,,,,,
V_:557.3,W_:312.0,Co:272.3,Ta:265.7,Sn:226.9,In:224.8,Sb:191.1,Ta:181.0,Cu:160.1,Fe:155.6,,,,,,,,,,,,
Ti:1137.2,Ta:513.0,Sb:427.9,W_:310.2,Sn:236.5,In:212.8,Ge:206.1,Si:200.5,Pb:185.7,Pt:181.5,,,,,,,,,,,,
W_:309.9,Ti:253.3,Fe:227.2,Pt:217.1,K :215.3,,,,,,,,,,,,,,,,,
Nb:836.6,Ti:681.4,Ni:491.5,Pd:420.0,Fe:384.4,W_:307.2,K :244.1,Al:235.1,Sn:208.5,Mo:198.1,Fe:192.9,S :178.9,Zn:171.3,,,,,,,,,
Mo:687.9,Nb:499.1,Ni:325.6,W_:303.1,V_:162.8,,,,,,,,,,,,,,,,,
C_:908.4,V_:800.6,Nb:573.5,Ge:493.1,Ni:323.0,W_:291.8,I_:272.6,Cu:238.6,S :236.7,Sb:215.3,,,,,,,,,,,,
V_:483.4,W_:289.9,Pd:210.6,Sn:207.2,S :205.2,Nb:172.5,Pt:162.2,I_:152.2,,,,,,,,,,,,,,
Ti:1109.2,W_:284.7,Sb:201.4,Si:200.2,In:167.8,S :152.6,,,,,,,,,,,,,,,,
Nb:2400.1,Ni:1183.5,W_:284.0,Pb:208.6,Pt:177.2,Pd:165.5,,,,,,,,,,,,,,,,
Zr:732.9,Ti:494.5,Pt:427.0,W_:283.7,Fe:228.4,Pd:219.9,Sb:171.5,Si:156.1,,,,,,,,,,,,,,
W_:282.5,Sn:251.8,In:241.1,Fe:230.9,Pd:225.1,In:198.7,I_:192.3,Pt:166.6,Pt:166.4,Sb:160.3,Zr:157.9,Si:150.5,,,,,,,,,,
I_:1579.0,Ta:869.8,Fe:814.0,W_:277.4,Ni:229.4,Pb:191.4,In:171.7,Ti:163.0,,,,,,,,,,,,,,
Nb:1454.7,Ni:772.9,W_:277.2,I_:269.4,Pt:170.9,,,,,,,,,,,,,,,,,
Zr:3082.4,K :2724.8,Mo:1459.8,Nb:530.0,Zn:516.9,Ti:483.8,In:445.2,Bi:436.5,Cr:399.8,C_:326.0,Pb:305.5,Pd:292.8,Ca:280.5,W_:272.8,Sn:212.7,Pt:192.6,,,,,,
Au:2141.8,W_:272.0,Ge:270.2,Ag:250.5,I_:248.5,Bi:246.6,Zr:225.4,Ta:208.4,Sb:179.4,Si:178.4,S :170.7,Co:151.5,,,,,,,,,,
Fe:1107.2,Ti:516.9,W_:271.9,Sn:193.1,,,,,,,,,,,,,,,,,,
Ti:397.4,W_:270.4,S :154.6,Zr:150.3,,,,,,,,,,,,,,,,,,
Ti:843.0,K :296.9,Ta:287.1,W_:270.2,Nb:229.9,S :178.0,,,,,,,,,,,,,,,,
V_:2807.7,Ti:445.0,W_:270.0,In:200.3,Pt:186.6,Fe:181.1,K :179.3,Pd:173.0,I_:167.7,Zr:162.7,,,,,,,,,,,,
Nb:680.8,Sb:585.2,Ni:487.2,W_:267.8,Cd:213.0,S :203.5,Al:194.7,Sn:193.5,,,,,,,,,,,,,,
Nb:2400.1,Ni:1183.5,Zr:460.7,W_:266.9,Pt:173.5,Pd:165.5,Si:160.7,,,,,,,,,,,,,,,
Nb:2443.0,Ni:1221.0,Ge:748.2,Ta:504.7,W_:263.6,Si:224.7,I_:224.3,I_:219.9,Sb:207.6,Pd:182.6,K :161.5,,,,,,,,,,,
Fe:1107.2,Ti:736.3,Ca:403.7,Nb:384.8,Pd:290.4,S :274.6,W_:259.8,Ni:246.5,,,,,,,,,,,,,,
W_:259.2,Ta:153.9,,,,,,,,,,,,,,,,,,,,
Ti:2120.2,Nb:1506.8,Ni:886.9,Fe:565.4,W_:256.9,K :186.5,Sb:169.4,Cu:166.6,,,,,,,,,,,,,,
Nb:1875.0,Ni:1035.5,W_:252.5,Ti:239.2,In:193.7,Pb:188.0,S :173.5,Bi:150.4,,,,,,,,,,,,,,
W_:251.7,Pt:209.2,In:188.9,Sn:185.7,Pd:184.3,Ti:179.7,Pt:174.5,Sb:160.4,S :155.1,,,,,,,,,,,,,
Ti:1119.4,W_:251.1,Nb:157.7,Pt:153.0,,,,,,,,,,,,,,,,,,
Ta:482.4,W_:249.0,I_:154.6,,,,,,,,,,,,,,,,,,,
Nb:1455.9,Si:1101.9,Ni:855.8,Mo:711.5,Pt:403.6,W_:246.1,S :239.7,In:178.5,Sn:160.9,Sb:160.1,,,,,,,,,,,,
W_:242.9,Ni:196.0,,,,,,,,,,,,,,,,,,,,
Nb:1875.0,Ni:1035.5,Ti:248.1,W_:242.5,In:227.7,Pt:216.4,Pb:188.0,I_:161.7,,,,,,,,,,,,,,
Nb:2007.0,Ni:869.3,W_:242.4,In:217.0,Ta:197.8,,,,,,,,,,,,,,,,,
Zr:892.2,Fe:686.7,V_:357.7,W_:240.9,P :186.2,K :186.2,S :173.2,Si:173.2,Pd:167.5,I_:158.3,S :154.6,,,,,,,,,,,
Ti:765.6,S :572.2,W_:238.2,Ta:205.0,V_:200.7,,,,,,,,,,,,,,,,,
Ti:1076.4,I_:476.9,I_:314.6,W_:238.0,S :215.8,Si:210.6,Pt:183.0,Nb:153.5,,,,,,,,,,,,,,
Ti:2416.8,Bi:2281.3,Al:498.7,Mo:419.5,I_:313.3,W_:238.0,Si:234.0,Pd:223.3,Ge:171.8,K :163.0,Pt:162.1,Sn:150.8,,,,,,,,,,
Cr:1707.4,S :326.6,Si:295.5,Pt:292.0,Pd:278.7,Sb:266.7,W_:236.5,Zr:234.9,I_:225.0,Ta:216.3,Pt:203.5,Pd:203.4,Si:198.4,Ge:197.7,I_:180.6,V_:171.1,,,,,,
Fe:1001.9,I_:816.5,Ti:630.9,In:254.5,W_:234.3,Co:220.7,Sb:217.2,S :214.7,S :204.8,Ni:187.1,Sn:175.4,Si:170.1,Zr:168.5,,,,,,,,,
S :1944.4,Pd:261.2,W_:233.5,Pt:222.6,In:203.5,Pd:177.6,Si:159.1,K :156.5,In:152.6,,,,,,,,,,,,,
Zr:340.1,Ti:268.0,Ti:263.4,W_:233.5,,,,,,,,,,,,,,,,,,
Mo:1279.4,Nb:846.9,Ni:349.9,W_:230.2,,,,,,,,,,,,,,,,,,
Ti:2845.6,S :1944.4,W_:228.4,Pt:222.6,Pd:212.3,In:212.3,In:203.5,I_:195.1,Zr:191.3,Mo:178.8,Pd:177.6,Si:162.8,Si:159.1,,,,,,,,,
Ti:2569.4,Nb:1510.8,Ni:767.1,Si:248.7,W_:228.0,Ca:196.4,Pb:179.9,K :178.3,Zr:154.3,,,,,,,,,,,,,
Nb:367.2,Mo:308.7,Ta:270.8,K :250.3,W_:227.0,Si:220.4,Pb:192.0,Sn:187.0,C_:179.3,Pd:160.0,Si:154.9,,,,,,,,,,,
Ti:2294.4,Nb:1469.2,Ni:642.9,Si:451.0,W_:226.4,Au:195.4,,,,,,,,,,,,,,,,
Nb:1498.6,I_:892.1,Ni:818.0,Ti:804.1,Ta:313.7,Mo:261.2,W_:226.0,Pd:202.5,Zr:160.7,,,,,,,,,,,,,
Nb:1048.7,Ni:438.8,W_:225.6,Pt:194.8,Pt:188.9,,,,,,,,,,,,,,,,,
Fe:441.6,Ni:291.2,Ti:228.2,W_:225.4,In:165.2,S :151.7,,,,,,,,,,,,,,,,
Nb:1487.4,Nb:906.7,Ni:634.6,Ti:297.1,Zr:274.0,W_:225.2,Ca:213.2,Si:186.0,Sb:156.9,Pt:153.7,,,,,,,,,,,,
V_:2139.8,Ca:342.6,W_:224.6,S :190.4,K :181.8,,,,,,,,,,,,,,,,,
Nb:318.1,W_:224.3,Pd:189.9,Pt:157.9,,,,,,,,,,,,,,,,,,
Mo:971.0,Sn:671.2,Pb:243.9,W_:223.6,Ca:169.6,Si:153.8,,,,,,,,,,,,,,,,
K :271.2,W_:223.0,,,,,,,,,,,,,,,,,,,,
Nb:1123.6,Ti:539.0,W_:217.2,S :190.0,Al:180.4,Ge:157.6,,,,,,,,,,,,,,,,
V_:613.4,S :477.6,S :438.2,W_:213.9,I_:150.1,,,,,,,,,,,,,,,,,
Nb:1582.9,V_:741.1,Ni:718.5,W_:213.7,Mo:183.2,Sn:153.2,,,,,,,,,,,,,,,,
Ag:7145.9,I_:2545.9,Sb:488.6,Fe:218.4,W_:213.6,Sn:153.6,In:151.2,,,,,,,,,,,,,,,
S :876.6,W_:209.2,In:207.4,In:199.9,Pd:189.0,Sb:185.7,Pd:178.8,I_:167.6,Zr:160.4,Pt:155.6,,,,,,,,,,,,
Cu:8747.5,K :1088.2,K :893.3,I_:478.3,Fe:393.5,S :374.1,Pd:259.0,Pd:257.7,V_:256.8,W_:209.2,Pt:178.8,Sn:177.6,Zr:177.0,Pb:176.2,Zr:156.6,,,,,,,
Nb:2461.7,Ni:972.4,In:506.0,W_:207.5,,,,,,,,,,,,,,,,,,
V_:420.0,W_:201.7,Ca:198.9,,,,,,,,,,,,,,,,,,,
Ti:843.0,K :328.4,K :296.9,Pt:242.7,S :201.3,W_:200.8,Sn:184.0,Cu:164.3,,,,,,,,,,,,,,
Ti:3468.9,V_:313.2,Pt:250.8,Ge:204.8,W_:200.5,Bi:176.9,S :176.1,Sb:150.6,,,,,,,,,,,,,,
W_:200.2,Fe:182.3,Sb:179.0,I_:167.4,Sn:164.7,,,,,,,,,,,,,,,,,
I_:1627.4,Fe:530.0,S :397.3,Sn:301.6,Ti:230.3,Zr:227.8,W_:199.4,In:158.6,P :152.2,,,,,,,,,,,,,
Nb:4861.6,Ni:1984.7,Zr:905.9,Al:852.3,Bi:693.7,Mo:463.4,In:215.7,W_:196.3,Pt:192.4,Si:188.1,C_:155.4,,,,,,,,,,,
Ti:408.4,Nb:292.7,W_:195.3,,,,,,,,,,,,,,,,,,,
Ti:473.4,Pb:256.2,Pb:225.8,W_:193.3,S :186.8,In:185.8,Sb:176.3,,,,,,,,,,,,,,,
Nb:397.1,S :277.0,W_:192.3,Ni:191.6,In:160.5,,,,,,,,,,,,,,,,,
Nb:2795.3,Ni:1530.1,Ti:1073.0,P :347.5,P :322.1,Cu:302.5,Fe:226.2,Sn:199.5,W_:192.3,Pd:160.4,Pd:152.6,,,,,,,,,,,
Nb:6347.0,Ni:2088.7,I_:1486.2,S :618.5,Ta:324.3,K :223.7,Ti:213.7,Pt:207.6,Co:206.0,W_:192.2,P :189.5,In:184.9,Pd:176.4,Pb:174.0,Si:154.5,,,,,,,
Nb:234.8,W_:191.6,S :164.2,,,,,,,,,,,,,,,,,,,
W_:190.8,Si:164.0,,,,,,,,,,,,,,,,,,,,
In:1084.3,Ti:983.0,Ni:455.6,Ca:323.5,Cr:278.1,P :274.8,Zr:223.7,Sn:204.9,Fe:198.0,W_:187.8,Bi:173.5,Pt:171.5,Pd:167.5,Sb:151.8,,,,,,,,
Nb:1884.4,Fe:1450.8,V_:1134.7,Ni:979.3,Pd:443.4,Mo:342.2,Cu:286.4,Bi:271.5,Ca:199.4,W_:186.7,I_:177.9,S :165.2,Zr:151.7,,,,,,,,,
Nb:208.4,Sb:205.6,Ni:190.4,W_:186.5,Zr:183.5,,,,,,,,,,,,,,,,,
