0,1,2,3,4,5
Pd| 1.00:1.00,Cr| 0.70:0.07,Zn| 0.67:0.16,Ge| 0.65:0.21,Ag| 0.62:0.08,Pt| 0.60:0.48
I_| 0.56:0.52,Sn| 0.55:0.56,P | 0.54:0.15,Si| 0.50:0.47,Fe| 0.49:0.48,Cu| 0.46:0.12
Bi| 0.45:0.21,S | 0.45:0.54,Co| 0.44:0.04,In| 0.43:0.49,K | 0.41:0.37,C_| 0.40:0.06
Sb| 0.39:0.40,W_| 0.38:0.66,Zr| 0.35:0.48,Ni| 0.35:0.49,Au| 0.33:0.04,Mo| 0.33:0.22
Pb| 0.32:0.14,Ta| 0.30:0.35,Nb| 0.29:0.59,Al| 0.27:0.03,V_| 0.26:0.23,Ca| 0.18:0.13
Ti| 0.15:0.52,,,,,
