0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Ti:394.1,Sb:290.5,Zr:285.7,Si:200.2,Sn:186.8,S :152.6,,,,,,,,,,,,,,,,,,,,,
Pd:377.4,W_:358.1,Sb:289.1,Pt:273.8,Si:263.9,Sn:250.4,Fe:244.1,S :227.2,In:212.8,Ta:212.0,I_:200.0,Ti:170.4,K :150.9,,,,,,,,,,,,,,
Zr:421.1,Fe:358.7,Nb:328.9,Sb:281.7,K :276.6,Ni:187.4,P :171.6,Zn:167.7,I_:166.8,,,,,,,,,,,,,,,,,,
Nb:797.9,Ni:443.6,S :418.1,Pd:339.5,In:301.3,Pt:283.3,Sb:275.7,Sn:268.3,Zr:234.1,Si:227.3,K :207.3,I_:167.2,W_:152.8,Fe:151.3,,,,,,,,,,,,,
Ti:3083.1,Pd:339.5,Pt:283.3,Zr:282.3,In:281.9,Sb:272.8,Sn:272.6,K :257.0,I_:154.2,W_:152.8,Fe:151.3,,,,,,,,,,,,,,,,
Nb:1972.8,Cr:1707.4,Ni:1031.7,S :326.6,Sb:266.7,Pb:257.0,W_:236.5,Zr:234.9,In:230.0,I_:225.0,Ta:216.3,Pt:203.5,Pd:203.4,Si:198.4,Ge:189.2,Sn:180.4,,,,,,,,,,,
Ag:6718.5,Ti:5482.7,Bi:4512.6,Zr:493.7,Nb:395.0,S :349.6,Sb:266.5,Si:254.3,Sn:247.5,Pd:234.9,Fe:192.2,Ge:169.7,Ni:159.8,,,,,,,,,,,,,,
Sb:260.3,Ti:232.9,Ti:183.0,,,,,,,,,,,,,,,,,,,,,,,,
W_:775.7,Ti:552.3,Pd:496.9,Pt:483.6,In:456.8,Ta:411.5,S :395.1,Si:379.0,Fe:352.0,Zr:348.4,Sn:348.2,S :318.6,Fe:258.7,I_:257.1,Sb:255.4,K :231.8,,,,,,,,,,,
Ti:4003.4,Fe:2462.6,W_:580.4,Pt:260.9,Sb:252.7,Bi:198.3,Zr:172.4,,,,,,,,,,,,,,,,,,,,
Nb:705.5,Ni:400.0,Pd:364.1,In:286.7,Pt:283.1,K :254.4,Sb:248.8,Mo:189.4,I_:179.2,Si:160.9,,,,,,,,,,,,,,,,,
Mo:492.8,Si:316.4,Cu:283.6,S :273.4,Zr:266.1,I_:259.5,Pb:251.4,Sb:246.7,Pt:244.6,Pd:209.3,In:183.0,P :179.9,Sn:178.1,Ge:175.1,K :158.4,I_:156.7,Fe:153.3,,,,,,,,,,
V_:1851.7,Nb:1798.8,V_:1497.2,Ni:691.2,Si:480.4,Si:420.5,Pd:401.1,Fe:357.6,K :305.5,Mo:298.2,Zr:260.5,Ta:258.6,S :246.7,Sb:245.9,Ge:194.0,Zn:154.4,,,,,,,,,,,
Ti:946.0,Sn:383.6,Sb:235.9,Ca:218.4,Ta:216.4,Zr:205.0,Nb:190.5,P :168.9,,,,,,,,,,,,,,,,,,,
Pd:516.5,Ta:513.0,Bi:366.3,Sn:236.5,Sb:232.3,S :214.0,Si:191.7,Pt:181.5,Ge:170.6,I_:168.0,Zn:154.0,,,,,,,,,,,,,,,,
Ge:657.0,Zr:392.6,S :245.4,Sb:231.0,Ta:223.8,Fe:207.4,Pb:185.9,W_:184.0,In:181.1,Si:165.8,,,,,,,,,,,,,,,,,
Ti:860.7,Zr:459.8,Nb:375.9,W_:333.0,I_:313.9,In:283.8,Sb:222.2,C_:216.5,Pt:164.9,,,,,,,,,,,,,,,,,,
Nb:378.4,Ni:289.3,C_:286.9,Nb:280.9,Sn:265.9,Sb:222.1,Si:161.1,W_:159.3,Fe:157.4,Bi:151.9,,,,,,,,,,,,,,,,,
Ca:2660.6,Ti:326.4,Zr:289.5,Sb:217.5,,,,,,,,,,,,,,,,,,,,,,,
Fe:1001.9,W_:234.3,Sb:217.2,S :214.7,Ni:187.1,Sn:175.4,Si:170.1,Ta:152.9,,,,,,,,,,,,,,,,,,,
C_:908.4,V_:800.6,Nb:573.5,Ge:493.1,Ni:323.0,W_:291.8,I_:272.6,Cu:238.6,S :236.7,Sb:215.3,,,,,,,,,,,,,,,,,
Ti:1431.1,Sb:212.0,Si:167.4,W_:166.0,,,,,,,,,,,,,,,,,,,,,,,
Zr:282.1,Ta:281.9,Ti:223.7,Sb:208.3,,,,,,,,,,,,,,,,,,,,,,,
Nb:2443.0,Ni:1221.0,Ge:748.2,Zr:392.6,W_:263.6,S :245.4,Si:224.7,I_:224.3,Ta:223.8,Sb:207.6,Fe:207.4,Pb:185.9,W_:184.0,Pd:182.6,In:181.1,Si:165.8,K :161.5,,,,,,,,,,
Ca:243.5,Ti:223.7,Sb:206.8,,,,,,,,,,,,,,,,,,,,,,,,
Ti:306.0,Nb:208.4,Sb:205.6,W_:186.5,Zr:183.5,,,,,,,,,,,,,,,,,,,,,,
