0,1,2,3,4
Cd| 1.00:1.00,Au| 0.08:0.25,Ge| 0.03:0.25,Ni| 0.03:1.00,Bi| 0.02:0.25
Sb| 0.02:0.50,Nb| 0.02:0.75,Zr| 0.02:0.50,Ca| 0.01:0.25,W_| 0.01:0.50
V_| 0.01:0.25,K | 0.01:0.25,I_| 0.01:0.25,Si| 0.01:0.25,Sn| 0.01:0.25
In| 0.01:0.25,Ti| 0.01:0.75,Ta| 0.01:0.25,S | 0.01:0.25,
,,,,
