0,1,2,3,4,5
Ag| 1.00:1.00,Co| 0.22:0.15,Ge| 0.13:0.31,Cu| 0.12:0.23,Bi| 0.11:0.38,Cr| 0.10:0.08
Al| 0.09:0.08,Pd| 0.08:0.62,P | 0.07:0.15,S | 0.07:0.62,Ca| 0.07:0.38,I_| 0.07:0.46
C_| 0.07:0.08,Sb| 0.06:0.46,Ni| 0.06:0.62,V_| 0.06:0.38,Si| 0.05:0.38,Sn| 0.05:0.38
Nb| 0.05:0.69,Zr| 0.05:0.46,Fe| 0.04:0.31,W_| 0.04:0.54,Ta| 0.04:0.31,Mo| 0.03:0.15
In| 0.03:0.23,Pt| 0.03:0.15,K | 0.02:0.15,Ti| 0.02:0.46,,
,,,,,
