0,1,2,3,4,5
Sb| 1.00:1.00,Ge| 0.71:0.22,Co| 0.67:0.06,Zn| 0.67:0.16,C_| 0.60:0.09,P | 0.57:0.16
Si| 0.55:0.52,Bi| 0.55:0.24,Cd| 0.50:0.02,Ag| 0.46:0.06,Sn| 0.45:0.45,In| 0.45:0.51
Pt| 0.45:0.35,Fe| 0.45:0.43,I_| 0.44:0.39,Pd| 0.40:0.39,Cr| 0.40:0.04,Zr| 0.38:0.52
S | 0.36:0.42,Cu| 0.35:0.09,Pb| 0.34:0.15,K | 0.32:0.28,W_| 0.31:0.53,Ta| 0.30:0.34
Ca| 0.30:0.22,Ni| 0.27:0.37,Nb| 0.26:0.52,Mo| 0.23:0.15,V_| 0.20:0.17,Au| 0.17:0.02
Ti| 0.15:0.53,Al| 0.09:0.01,,,,
