0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Ta:454.9,W_:251.7,Pt:209.2,Pd:206.6,Pd:184.3,Ti:179.7,W_:172.7,Sb:160.4,,,,,,,,,,,,,,
I_:1486.2,S :618.5,Fe:530.0,Ta:324.3,K :223.7,Ti:213.7,Pt:207.6,Co:206.0,W_:192.2,P :189.5,Pd:176.4,Pb:174.0,Si:154.5,,,,,,,,,
Cu:5098.6,Nb:1830.0,Ti:1612.7,Ni:1006.4,S :297.5,Fe:291.5,In:281.2,Sn:253.0,Pd:221.9,Pt:206.7,Ge:172.9,Zr:158.8,,,,,,,,,,
V_:400.4,Ti:238.3,Pt:206.3,,,,,,,,,,,,,,,,,,,
Nb:1972.8,Cr:1707.4,Ni:1031.7,S :326.6,Sb:266.7,Pb:257.0,W_:236.5,Zr:234.9,In:230.0,I_:225.0,Ta:216.3,Pt:203.5,Pd:203.4,Si:198.4,Ge:189.2,Sn:180.4,,,,,,
Nb:797.9,S :418.1,Ni:266.4,Zr:234.1,Sn:216.8,Fe:214.9,Pt:203.3,Zr:200.3,Si:158.1,,,,,,,,,,,,,
Nb:1048.7,Ti:721.3,Ni:438.8,Sn:225.7,W_:225.6,Pt:194.8,,,,,,,,,,,,,,,,
K :893.3,S :523.1,W_:388.4,S :374.1,Ta:322.3,Si:257.8,Pd:257.7,Co:245.7,In:237.3,V_:224.3,Sn:214.8,Zr:205.5,Pt:193.3,Zr:177.0,Ni:172.2,Ge:169.8,Fe:157.0,Mo:151.2,,,,
Zr:3082.4,K :2724.8,Mo:1459.8,Nb:530.0,Zn:516.9,Ti:483.8,In:445.2,Bi:436.5,Cr:399.8,C_:326.0,Pb:305.5,Pd:292.8,Ca:280.5,W_:272.8,Sn:212.7,Pt:192.6,,,,,,
Nb:4861.6,Ni:1984.7,Zr:905.9,Al:852.3,Bi:693.7,K :483.1,Mo:463.4,In:215.7,W_:196.3,Pt:192.4,Si:188.1,Sn:185.1,C_:155.4,,,,,,,,,
Nb:3383.7,Ni:1499.2,Pt:190.8,In:154.7,,,,,,,,,,,,,,,,,,
Ti:1049.0,Nb:1048.7,Ni:438.8,W_:225.6,K :202.8,Pt:188.9,,,,,,,,,,,,,,,,
V_:2807.7,Nb:1582.9,Ni:718.5,Ti:445.0,W_:270.0,In:200.3,Pt:186.6,Mo:183.2,Fe:181.1,K :179.3,Pd:173.0,I_:167.7,Zr:162.7,,,,,,,,,
V_:1701.1,Nb:387.0,Ta:271.6,I_:197.8,Pt:186.5,In:163.2,,,,,,,,,,,,,,,,
Fe:1217.3,Nb:874.0,Ni:386.4,Ag:250.5,Zr:229.0,Ge:227.7,Pt:185.1,V_:170.4,Bi:169.4,Cr:167.8,Pd:163.4,,,,,,,,,,,
W_:324.2,Pd:232.5,Ti:204.6,Pt:184.5,Fe:156.6,,,,,,,,,,,,,,,,,
V_:483.4,I_:314.6,W_:238.0,S :215.8,Pt:183.0,Nb:153.5,,,,,,,,,,,,,,,,
Pd:516.5,Ta:513.0,Sb:427.9,Bi:366.3,W_:310.2,Sn:236.5,Sb:232.3,S :214.0,In:212.8,Ge:206.1,Si:191.7,Pb:185.7,Pt:181.5,I_:168.0,Zn:154.0,,,,,,,
Ca:4236.6,V_:518.8,Nb:227.2,K :206.6,Fe:204.1,I_:200.9,Pt:181.1,Pb:165.2,W_:161.9,Sb:161.3,In:158.2,,,,,,,,,,,
W_:1056.9,Ti:732.8,Ta:272.6,Si:225.4,S :217.6,Fe:179.6,Pt:179.4,Zr:171.5,Sn:159.8,,,,,,,,,,,,,
Cu:8747.5,Nb:1427.2,K :1088.2,Ni:700.2,I_:478.3,Fe:393.5,Mo:351.1,Ta:303.0,Pd:259.0,V_:256.8,W_:209.2,Pt:178.8,Sn:177.6,Pb:176.2,Zr:156.6,,,,,,,
Nb:2400.1,Ni:1183.5,W_:284.0,Pb:208.6,Pt:177.2,Pd:165.5,,,,,,,,,,,,,,,,
Nb:1769.9,Ni:979.2,Mo:643.7,K :493.1,Sn:433.8,Ti:262.9,Fe:236.1,Ta:206.7,W_:182.9,Pb:180.1,Si:178.9,Pt:176.2,Zr:162.0,,,,,,,,,
W_:251.7,In:188.9,Sn:185.7,Pd:184.3,Ti:179.7,Pt:174.5,Sb:160.4,S :155.1,,,,,,,,,,,,,,
Ti:1250.6,Ni:441.5,Nb:340.2,Ta:309.7,Sn:236.9,In:226.8,Pt:174.2,In:168.9,Sb:165.8,,,,,,,,,,,,,
Nb:2400.1,Ni:1183.5,Zr:460.7,W_:266.9,Pt:173.5,Pd:165.5,Si:160.7,,,,,,,,,,,,,,,
In:1084.3,Ti:983.0,Ni:455.6,Ca:323.5,Cr:278.1,P :274.8,Zr:223.7,Sn:204.9,Fe:198.0,W_:187.8,Bi:173.5,Pt:171.5,Pd:167.5,Sb:151.8,,,,,,,,
Nb:1454.7,Ti:1049.0,Ni:772.9,W_:277.2,I_:269.4,K :202.8,Pt:170.9,,,,,,,,,,,,,,,
K :479.9,Cu:394.1,Sn:298.6,In:221.9,Fe:194.1,Pt:170.5,Pd:168.3,S :167.9,Ta:156.1,,,,,,,,,,,,,
Ta:173.4,Pt:170.3,Si:158.3,,,,,,,,,,,,,,,,,,,
S :1079.6,Sb:927.7,Ti:589.4,In:375.0,Si:324.9,Pd:248.6,Zr:247.7,Pb:208.9,Ta:205.3,Pt:168.4,W_:163.4,K :152.4,,,,,,,,,,
Ti:4247.0,Ca:481.3,Nb:434.9,Ni:197.3,S :196.6,Pt:167.4,Fe:158.3,,,,,,,,,,,,,,,
Ti:344.3,W_:282.5,Sn:251.8,In:198.7,I_:192.3,Pt:166.6,S :165.1,Pd:164.8,Sb:160.3,Zr:157.9,Si:150.5,,,,,,,,,,,
W_:282.5,Ti:265.5,Sn:251.8,In:241.1,Fe:230.9,Pd:225.1,Pt:166.4,Sb:160.3,Zr:157.9,,,,,,,,,,,,,
Ti:860.7,Zr:459.8,Nb:375.9,W_:333.0,I_:313.9,In:283.8,Sb:222.2,C_:216.5,Pt:164.9,,,,,,,,,,,,,
Fe:1407.4,Nb:252.5,Cr:227.3,Ta:224.4,V_:202.0,Ti:193.9,Pt:163.0,In:154.0,,,,,,,,,,,,,,
W_:289.9,In:238.0,Pd:210.6,Sn:207.2,S :205.2,Ti:181.2,Nb:172.5,Pt:162.2,I_:152.2,,,,,,,,,,,,,
Bi:2281.3,Al:498.7,Ta:347.8,I_:313.3,S :246.4,W_:238.0,Si:234.0,Pd:223.3,In:187.2,Ge:171.8,K :163.0,Pt:162.1,Sn:150.8,,,,,,,,,
Nb:2474.2,Ti:1674.0,Ni:1161.4,In:405.1,Pd:274.4,Pb:191.3,Pt:161.5,Fe:156.5,,,,,,,,,,,,,,
Ca:4290.6,Ca:3961.3,Cr:554.6,I_:371.3,Pd:224.4,S :205.6,Au:203.9,Pt:161.0,Ta:155.8,In:154.8,K :152.2,W_:150.3,,,,,,,,,,
W_:1732.4,Ti:708.8,S :173.2,Pt:158.8,In:155.9,,,,,,,,,,,,,,,,,
Nb:318.1,W_:224.3,Pd:189.9,Pt:157.9,,,,,,,,,,,,,,,,,,
Nb:4130.7,Ni:2083.5,S :876.6,Ta:220.0,W_:209.2,In:199.9,Pd:189.0,I_:167.6,Pt:155.6,,,,,,,,,,,,,
Ti:2416.8,Nb:2033.5,Ni:769.7,V_:474.7,Mo:419.5,Fe:270.5,Ta:209.5,Pd:186.2,Sn:170.9,Au:169.7,Pt:154.7,,,,,,,,,,,
Nb:906.7,W_:225.2,Si:186.0,Sb:156.9,Pt:153.7,,,,,,,,,,,,,,,,,
Ti:1119.4,W_:251.1,Nb:157.7,Pt:153.0,,,,,,,,,,,,,,,,,,
Ti:1430.4,Mo:717.5,Fe:451.2,Ta:175.9,In:170.6,Sb:165.4,In:158.6,S :155.7,Pt:151.7,Co:151.1,,,,,,,,,,,,
Mo:1114.9,V_:555.8,W_:334.5,In:219.3,Sn:153.9,Pt:151.1,Sn:150.9,,,,,,,,,,,,,,,
