0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Cu:5098.6,Nb:1830.0,Ti:1612.7,Ni:1006.4,S :297.5,Fe:291.5,In:281.2,Sn:253.0,Pd:221.9,Pt:206.7,Ge:172.9,Zr:158.8,,,,,,,,,,,,
Ti:287.7,In:259.3,,,,,,,,,,,,,,,,,,,,,,
I_:816.5,Ti:630.9,In:254.5,W_:234.3,Co:220.7,S :204.8,Zr:168.5,Sn:152.6,,,,,,,,,,,,,,,,
Ti:656.5,C_:615.8,Nb:509.2,Sb:435.3,Si:316.2,In:254.2,Sn:205.6,W_:178.6,Pb:170.9,Ta:150.1,,,,,,,,,,,,,,
In:241.2,Ti:189.4,,,,,,,,,,,,,,,,,,,,,,
W_:282.5,Ti:265.5,Sn:251.8,In:241.1,Fe:230.9,Pd:225.1,Pt:166.4,Sb:160.3,Zr:157.9,,,,,,,,,,,,,,,
V_:555.8,In:238.0,Pd:210.6,Sn:207.2,S :205.2,Ti:181.2,Pt:162.2,I_:152.2,Sn:150.9,,,,,,,,,,,,,,,
Ti:5482.7,S :523.1,Nb:395.0,W_:388.4,Ta:322.3,Si:257.8,Co:245.7,In:237.3,Pd:234.9,V_:224.3,Sn:214.8,Zr:205.5,Pt:193.3,Ni:172.2,Ge:169.8,Fe:157.0,Mo:151.2,,,,,,,
Ti:1117.2,In:233.6,I_:182.9,W_:150.8,,,,,,,,,,,,,,,,,,,,
Nb:1972.8,Ni:1031.7,Sb:266.7,Pb:257.0,Zr:234.9,In:230.0,I_:225.0,Ta:216.3,Pt:203.5,Pd:203.4,Si:198.4,Ge:189.2,Sn:180.4,,,,,,,,,,,
Nb:1875.0,Ni:1035.5,Ti:248.1,W_:242.5,In:227.7,Pt:216.4,Pb:188.0,I_:161.7,,,,,,,,,,,,,,,,
Ca:8549.3,Sn:1300.3,Nb:753.7,Fe:668.9,Ni:444.2,Ti:335.6,Pb:250.7,In:227.7,S :215.7,Sb:158.4,,,,,,,,,,,,,,
Nb:340.2,Ta:309.7,In:226.8,Fe:218.4,Pt:174.2,Sn:153.6,,,,,,,,,,,,,,,,,,
Ti:579.6,Zr:561.3,In:226.2,Sn:212.8,Pd:199.0,S :192.7,W_:170.5,P :159.1,,,,,,,,,,,,,,,,
Nb:1123.6,V_:557.3,W_:312.0,Ta:265.7,Sn:226.9,In:224.8,Cu:160.1,Ge:157.6,Fe:155.6,,,,,,,,,,,,,,,
K :479.9,Cu:394.1,Sn:298.6,In:221.9,Fe:194.1,Pt:170.5,Pd:168.3,S :167.9,Ta:156.1,,,,,,,,,,,,,,,
Ca:2356.8,Ta:337.6,W_:329.6,In:219.5,Fe:162.8,,,,,,,,,,,,,,,,,,,
Mo:1114.9,V_:555.8,W_:334.5,In:219.3,Sn:153.9,Pt:151.1,Sn:150.9,,,,,,,,,,,,,,,,,
Pb:1077.7,Nb:687.3,W_:554.9,Ni:364.9,In:219.3,S :167.2,K :156.0,Si:155.0,Ta:152.9,,,,,,,,,,,,,,,
Nb:2007.0,Ni:869.3,W_:242.4,In:217.0,Ta:197.8,,,,,,,,,,,,,,,,,,,
Nb:583.1,Fe:545.7,Ti:542.1,In:216.5,Sn:200.7,Sb:170.1,Sn:152.6,,,,,,,,,,,,,,,,,
Nb:4861.6,Ni:1984.7,Zr:905.9,Al:852.3,Bi:693.7,K :483.1,Mo:463.4,In:215.7,W_:196.3,Pt:192.4,Si:188.1,Sn:185.1,C_:155.4,,,,,,,,,,,
Ti:1137.2,Ta:513.0,Sb:427.9,W_:310.2,Sn:236.5,In:212.8,Ge:206.1,Si:200.5,Pb:185.7,Pt:181.5,,,,,,,,,,,,,,
