0,1,2,3,4,5
Si| 1.00:1.00,Ge| 0.74:0.25,Zn| 0.71:0.18,Co| 0.56:0.05,Bi| 0.55:0.26,Sb| 0.52:0.55
Cr| 0.50:0.05,P | 0.50:0.15,Pd| 0.47:0.50,I_| 0.47:0.46,C_| 0.47:0.08,Al| 0.45:0.05
Pt| 0.45:0.38,Fe| 0.45:0.47,Sn| 0.44:0.48,K | 0.44:0.42,In| 0.42:0.51,S | 0.42:0.53
Mo| 0.42:0.29,Ag| 0.38:0.05,Zr| 0.38:0.54,Ta| 0.36:0.45,Cu| 0.35:0.10,Pb| 0.34:0.16
W_| 0.34:0.62,Ni| 0.31:0.47,Cd| 0.25:0.01,Nb| 0.24:0.50,Au| 0.17:0.02,Ca| 0.16:0.13
Ti| 0.12:0.45,V_| 0.12:0.11,,,,
