0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Ti:884.7,Ta:839.2,Pd:541.7,Sb:340.7,I_:298.5,S :288.7,Bi:171.8,,,,,,,,,,,,,,,,,
Ti:4453.7,Ca:3873.4,Ta:349.0,Sn:319.4,I_:291.4,Nb:264.0,Fe:154.1,,,,,,,,,,,,,,,,,
Nb:1097.8,V_:860.6,Fe:742.8,Ni:507.6,Sb:461.9,Ta:347.8,I_:282.0,S :246.4,S :226.2,Pd:212.0,Sn:204.9,In:187.2,W_:167.1,,,,,,,,,,,
C_:908.4,V_:800.6,Nb:573.5,Ge:493.1,Ni:323.0,W_:291.8,I_:272.6,Cu:238.6,S :236.7,Sb:215.3,,,,,,,,,,,,,,
Nb:1454.7,Ti:1049.0,Ni:772.9,W_:277.2,I_:269.4,K :202.8,Pt:170.9,,,,,,,,,,,,,,,,,
Nb:1496.7,Ni:813.1,Si:316.4,S :273.4,I_:259.5,Sb:246.7,Pt:244.6,P :179.9,Sn:178.1,K :158.4,Fe:153.3,,,,,,,,,,,,,
W_:775.7,Ti:552.3,Pd:496.9,Pt:483.6,In:456.8,Ta:411.5,S :395.1,Si:379.0,Fe:352.0,Zr:348.4,Sn:348.2,S :318.6,Fe:258.7,I_:257.1,Sb:255.4,K :231.8,,,,,,,,
Zr:1017.5,Ti:962.3,Nb:315.7,I_:253.4,K :151.4,,,,,,,,,,,,,,,,,,,
Ti:962.3,I_:251.0,K :151.4,,,,,,,,,,,,,,,,,,,,,
Nb:1843.2,Mo:976.8,Ni:839.9,Ta:493.3,Cu:386.0,Ca:283.3,I_:248.9,Bi:233.9,Sb:175.7,Ag:173.9,,,,,,,,,,,,,,
Au:2141.8,W_:272.0,Ge:270.2,Ag:250.5,I_:248.5,Bi:246.6,Zr:225.4,Ta:208.4,Sb:179.4,Si:178.4,S :170.7,Co:151.5,,,,,,,,,,,,
I_:232.4,Ti:174.1,,,,,,,,,,,,,,,,,,,,,,
Zr:3282.5,Ti:1137.2,Nb:480.2,Sb:477.3,Pd:368.5,I_:228.6,Sn:224.6,Ni:220.1,Si:200.5,W_:161.9,,,,,,,,,,,,,,
Nb:1972.8,Cr:1707.4,Ni:1031.7,S :326.6,Sb:266.7,Pb:257.0,W_:236.5,Zr:234.9,In:230.0,I_:225.0,Ta:216.3,Pt:203.5,Pd:203.4,Si:198.4,Ge:189.2,Sn:180.4,,,,,,,,
Nb:2443.0,Ni:1221.0,Ge:748.2,Zr:392.6,W_:263.6,S :245.4,Si:224.7,I_:224.3,Ta:223.8,Sb:207.6,Fe:207.4,Pb:185.9,W_:184.0,Pd:182.6,In:181.1,Si:165.8,K :161.5,,,,,,,
Ta:504.7,W_:340.9,W_:263.6,Si:224.7,I_:219.9,Pd:182.6,,,,,,,,,,,,,,,,,,
Nb:913.9,Fe:539.0,W_:321.4,K :304.9,Pd:261.2,Pd:236.2,I_:212.3,Zr:190.2,Si:178.5,K :156.5,In:152.6,,,,,,,,,,,,,
Nb:1807.1,Ti:1303.8,Ni:938.1,I_:203.9,W_:170.1,W_:166.3,Cu:154.5,,,,,,,,,,,,,,,,,
Ca:4236.6,Nb:227.2,K :206.6,Fe:204.1,I_:200.9,Pt:181.1,Pb:165.2,W_:161.9,Sb:161.3,In:158.2,,,,,,,,,,,,,,
Pd:377.4,W_:358.1,Sb:289.1,Pt:273.8,Si:263.9,Sn:250.4,Fe:244.1,S :227.2,In:212.8,Ta:212.0,I_:200.0,Ti:170.4,K :150.9,,,,,,,,,,,
V_:1701.1,Cu:819.4,Nb:387.0,Ta:271.6,Pt:263.2,K :219.5,Pd:215.3,I_:197.8,Pt:186.5,In:163.2,,,,,,,,,,,,,,
Ti:2845.6,Nb:257.8,W_:228.4,Pd:212.3,In:212.3,I_:195.1,Zr:191.3,Mo:178.8,Ni:175.2,Si:162.8,,,,,,,,,,,,,,
Ti:344.3,W_:282.5,Sn:251.8,In:198.7,I_:192.3,Pt:166.6,S :165.1,Pd:164.8,Sb:160.3,Zr:157.9,Si:150.5,,,,,,,,,,,,,
I_:190.5,Ca:186.6,Nb:186.0,,,,,,,,,,,,,,,,,,,,,
