0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Ag:6718.5,Bi:4512.6,Zr:493.7,S :349.6,Si:295.5,Pt:292.0,Pd:278.7,Sb:266.5,Si:254.3,Sn:247.5,Ge:197.7,Fe:192.2,I_:180.6,V_:171.1,Ge:169.7,Ni:159.8,,,,,,,,,,,
Ti:918.8,Nb:434.5,Ca:394.6,S :345.9,Pb:178.8,In:170.7,Zn:152.9,,,,,,,,,,,,,,,,,,,,
Cr:1707.4,S :326.6,Si:295.5,Pt:292.0,Pd:278.7,Sb:266.7,W_:236.5,Zr:234.9,I_:225.0,Ta:216.3,Pt:203.5,Pd:203.4,Si:198.4,Ge:197.7,I_:180.6,V_:171.1,,,,,,,,,,,
Ti:552.3,Pd:496.9,Ta:411.5,S :318.6,Fe:258.7,I_:257.1,Sb:255.4,K :231.8,,,,,,,,,,,,,,,,,,,
Cu:5098.6,Nb:1830.0,Ti:1612.7,Ni:1006.4,S :297.5,Fe:291.5,In:281.2,Sn:253.0,Pd:221.9,Pt:206.7,Ge:172.9,Zr:158.8,,,,,,,,,,,,,,,
Ta:839.2,I_:298.5,S :288.7,,,,,,,,,,,,,,,,,,,,,,,,
Ti:1368.6,Pd:1196.0,Nb:842.0,Cr:781.3,Ni:407.4,Zr:337.7,P :299.6,Ta:284.2,S :281.5,Mo:196.1,W_:185.5,Si:167.1,Sb:164.5,Sn:160.9,I_:157.7,,,,,,,,,,,,
Nb:397.1,S :277.0,W_:192.3,Ni:191.6,In:160.5,,,,,,,,,,,,,,,,,,,,,,
Fe:1107.2,Ti:736.3,Ca:403.7,Nb:384.8,Pd:290.4,S :274.6,W_:259.8,Ni:246.5,,,,,,,,,,,,,,,,,,,
Nb:1496.7,Ni:813.1,Si:316.4,S :273.4,I_:259.5,Sb:246.7,Pt:244.6,P :179.9,Sn:178.1,K :158.4,Fe:153.3,,,,,,,,,,,,,,,,
Sn:870.7,Nb:434.5,Ca:290.2,S :262.2,Ni:246.2,,,,,,,,,,,,,,,,,,,,,,
Ti:3687.0,W_:1019.9,Nb:874.0,Ni:386.4,S :250.9,Zr:229.0,Pd:218.8,Ag:210.2,Cr:167.8,Pd:163.4,,,,,,,,,,,,,,,,,
Ta:461.4,S :248.8,Nb:227.5,Ni:174.9,Pd:166.8,Sb:160.3,I_:154.2,Si:153.7,,,,,,,,,,,,,,,,,,,
V_:1851.7,Nb:1798.8,V_:1497.2,Ni:691.2,Si:480.4,Si:420.5,Pd:401.1,Fe:357.6,K :305.5,Mo:298.2,Zr:260.5,Ta:258.6,S :246.7,Sb:245.9,Ge:194.0,Zn:154.4,,,,,,,,,,,
Bi:2281.3,Nb:1097.8,Ni:507.6,Al:498.7,Sb:461.9,Ta:347.8,I_:282.0,S :246.4,Si:234.0,Pd:223.3,In:187.2,W_:167.1,K :163.0,Pt:162.1,,,,,,,,,,,,,
Ca:403.7,Ca:394.7,Nb:384.8,Zr:375.6,Pd:290.4,Ta:262.3,S :245.9,Mo:213.6,Si:191.3,,,,,,,,,,,,,,,,,,
Nb:2443.0,Ni:1221.0,Ge:748.2,Ge:657.0,Zr:392.6,S :245.4,Sb:231.0,I_:224.3,Ta:223.8,Sb:207.6,Fe:207.4,Pb:185.9,W_:184.0,In:181.1,Si:165.8,K :161.5,,,,,,,,,,,
Nb:1427.2,Ti:1382.3,Ni:700.2,Mo:351.1,Ta:303.0,S :241.6,Ag:210.9,,,,,,,,,,,,,,,,,,,,
Nb:1455.9,Si:1101.9,Ni:855.8,Mo:711.5,Pt:403.6,W_:246.1,S :239.7,In:178.5,Bi:176.9,Sn:160.9,Sb:160.1,,,,,,,,,,,,,,,,
Nb:477.9,Zr:306.5,Pd:297.4,S :239.1,Ni:238.4,Ti:216.9,K :190.3,I_:158.5,,,,,,,,,,,,,,,,,,,
C_:908.4,V_:800.6,Nb:573.5,Ge:493.1,Ni:323.0,W_:291.8,I_:272.6,Cu:238.6,S :236.7,Sb:215.3,Sb:167.1,Pb:155.3,,,,,,,,,,,,,,,
Pd:377.4,W_:358.1,Sb:289.1,Pt:273.8,Si:263.9,Sn:250.4,Fe:244.1,S :227.2,In:212.8,Ta:212.0,I_:200.0,Ti:170.4,K :150.9,,,,,,,,,,,,,,
Nb:1097.8,V_:860.6,Fe:742.8,Ni:507.6,Sb:461.9,W_:340.9,I_:282.0,S :226.2,Pd:212.0,Sn:204.9,W_:167.1,,,,,,,,,,,,,,,,
Nb:1769.9,Ni:979.2,Al:856.1,K :489.6,Sn:346.7,S :224.6,Ti:166.6,,,,,,,,,,,,,,,,,,,,
Cu:6008.6,Al:856.1,W_:425.7,Sn:346.7,V_:346.6,S :221.9,,,,,,,,,,,,,,,,,,,,,
W_:1056.9,Ti:732.8,Ta:272.6,Si:225.4,S :217.6,Fe:179.6,Pt:179.4,Zr:171.5,Sn:159.8,,,,,,,,,,,,,,,,,,
V_:483.4,I_:314.6,W_:238.0,S :215.8,Pt:183.0,Nb:153.5,,,,,,,,,,,,,,,,,,,,,
Ca:8549.3,Sn:1300.3,Nb:530.3,Ti:335.6,Pb:250.7,In:227.7,Pb:217.7,S :215.7,Sb:158.4,,,,,,,,,,,,,,,,,,
Fe:1001.9,W_:234.3,Sb:217.2,S :214.7,Ni:187.1,Sn:175.4,Si:170.1,Ta:152.9,,,,,,,,,,,,,,,,,,,
Pd:516.5,Ta:513.0,Bi:366.3,Sn:236.5,Sb:232.3,S :214.0,Si:191.7,Pt:181.5,Ge:170.6,I_:168.0,Zn:154.0,,,,,,,,,,,,,,,,
Ti:3468.9,Nb:1419.7,Zr:1320.3,Ni:741.3,Au:507.2,V_:313.2,Cd:288.6,S :211.4,I_:154.4,Ge:150.8,,,,,,,,,,,,,,,,,
