0,1,2,3,4,5
Ca| 1.00:1.00,Co| 0.44:0.05,Cr| 0.40:0.05,Ag| 0.38:0.07,Pb| 0.32:0.19,Bi| 0.30:0.18
Zn| 0.29:0.09,Cd| 0.25:0.01,Mo| 0.23:0.20,Sb| 0.22:0.30,P | 0.21:0.08,I_| 0.21:0.26
Cu| 0.19:0.07,Sn| 0.18:0.24,S | 0.17:0.27,Nb| 0.17:0.45,K | 0.16:0.19,Ta| 0.16:0.24
Zr| 0.16:0.28,Fe| 0.16:0.20,Ni| 0.15:0.27,Pd| 0.13:0.18,W_| 0.13:0.30,Si| 0.13:0.16
V_| 0.13:0.15,In| 0.12:0.18,Pt| 0.10:0.11,Ti| 0.09:0.41,Au| 0.08:0.01,C_| 0.07:0.01
Ge| 0.06:0.03,,,,,
