0,1,2,3,4,5
Fe| 1.00:1.00,P | 0.61:0.18,Zn| 0.58:0.15,Ge| 0.55:0.18,Al| 0.55:0.06,Pt| 0.54:0.44
Sn| 0.49:0.51,Pd| 0.48:0.49,Si| 0.47:0.45,Bi| 0.45:0.21,Co| 0.44:0.04,K | 0.44:0.41
In| 0.44:0.51,I_| 0.44:0.41,Sb| 0.43:0.45,Cu| 0.42:0.11,Cr| 0.40:0.04,Pb| 0.36:0.17
Ni| 0.36:0.51,S | 0.35:0.43,Zr| 0.35:0.49,W_| 0.35:0.60,Ta| 0.32:0.38,Ag| 0.31:0.04
Mo| 0.30:0.20,V_| 0.29:0.26,Nb| 0.27:0.55,C_| 0.27:0.04,Ca| 0.20:0.16,Au| 0.17:0.02
Ti| 0.16:0.57,,,,,
