0,1,2,3,4,5
Cr| 1.00:1.00,Co| 0.11:0.10,Al| 0.09:0.10,Bi| 0.09:0.40,Pt| 0.09:0.70,Zn| 0.08:0.20
Ag| 0.08:0.10,Pd| 0.07:0.70,C_| 0.07:0.10,Ge| 0.06:0.20,I_| 0.06:0.50,Si| 0.05:0.50
Ca| 0.05:0.40,Mo| 0.05:0.30,Pb| 0.05:0.20,Zr| 0.05:0.60,In| 0.05:0.50,Fe| 0.04:0.40
W_| 0.04:0.70,Sb| 0.04:0.40,Ni| 0.04:0.50,P | 0.04:0.10,V_| 0.03:0.30,K | 0.03:0.30
Sn| 0.03:0.30,S | 0.03:0.30,Nb| 0.03:0.50,Ti| 0.02:0.70,Ta| 0.02:0.20,
,,,,,
