0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Ti:721.3,Nb:356.6,Pd:302.3,S :155.7,,,,,,,,,,,,,,,,,,,,
Nb:477.9,Zr:306.5,Pd:297.4,S :239.1,Ni:238.4,Ti:216.9,K :190.3,I_:158.5,,,,,,,,,,,,,,,,
Zr:3082.4,K :2724.8,Mo:1459.8,Nb:530.0,Zn:516.9,Ti:483.8,In:445.2,Bi:436.5,Cr:399.8,C_:326.0,Pb:305.5,Pd:292.8,Ca:280.5,W_:272.8,Sn:212.7,Pt:192.6,,,,,,,,
Ti:736.3,Ca:403.7,Nb:384.8,Zr:375.6,Pd:290.4,S :274.6,W_:259.8,Ni:246.5,S :245.9,Mo:213.6,,,,,,,,,,,,,,
Ag:6718.5,Bi:4512.6,Cr:1707.4,S :349.6,S :326.6,Si:295.5,Pt:292.0,Pd:278.7,Sn:247.5,W_:236.5,Ge:197.7,Fe:192.2,I_:180.6,V_:171.1,Ni:159.8,,,,,,,,,
Nb:2474.2,Ti:1674.0,Ni:1161.4,In:405.1,Pd:274.4,Pb:191.3,Pt:161.5,Fe:156.5,,,,,,,,,,,,,,,,
Fe:539.0,Pd:261.2,W_:233.5,I_:212.3,Si:178.5,K :156.5,In:152.6,,,,,,,,,,,,,,,,,
Cu:8747.5,Nb:1427.2,K :1088.2,Ni:700.2,I_:478.3,Fe:393.5,Mo:351.1,Ta:303.0,Pd:259.0,V_:256.8,W_:209.2,Pt:178.8,Sn:177.6,Pb:176.2,Zr:156.6,,,,,,,,,
K :893.3,I_:478.3,Fe:393.5,S :374.1,Ta:322.3,Pd:257.7,Co:245.7,V_:224.3,Sn:214.8,W_:209.2,Pt:193.3,Zr:177.0,Ge:169.8,,,,,,,,,,,
V_:770.5,Au:376.0,Pd:252.5,,,,,,,,,,,,,,,,,,,,,
S :1079.6,Sb:927.7,Ti:589.4,In:375.0,Si:324.9,Pd:248.6,Zr:247.7,Pb:208.9,Ta:205.3,Pt:168.4,W_:163.4,,,,,,,,,,,,,
Mo:667.7,Nb:543.0,Pt:265.1,Zr:255.2,Si:250.2,Pd:246.7,Ni:219.4,In:206.8,I_:185.8,S :167.8,K :160.5,,,,,,,,,,,,,
Ti:1250.6,Nb:913.9,Fe:539.0,Ni:441.5,W_:321.4,K :304.9,Sn:236.9,Pd:236.2,I_:212.3,Zr:190.2,Si:178.5,In:168.9,Sb:165.8,,,,,,,,,,,
Ti:5482.7,S :523.1,Zr:493.7,Nb:395.0,W_:388.4,Sb:266.5,Si:257.8,Si:254.3,In:237.3,Pd:234.9,Zr:205.5,Ni:172.2,Ge:169.7,Fe:157.0,Mo:151.2,,,,,,,,,
W_:324.2,Pd:232.5,Ti:204.6,Pt:184.5,Fe:156.6,,,,,,,,,,,,,,,,,,,
