0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Nb:3448.1,V_:2350.1,Ta:1466.7,Cr:1377.0,Mo:617.9,Pt:400.0,Ti:309.6,S :300.5,In:242.0,Zr:217.0,Au:193.1,,,,,,,,,,,,,
Mo:2419.2,Pt:1725.8,Ta:1459.1,Co:1009.2,Nb:472.9,W_:255.7,,,,,,,,,,,,,,,,,,
V_:1727.0,Ta:1432.8,Ni:1042.4,W_:714.7,Nb:688.3,Cr:552.5,Mo:533.0,Pt:422.8,Zr:297.4,S :246.4,P :156.1,,,,,,,,,,,,,
W_:3829.6,Ta:1401.4,Zr:599.2,S :399.2,In:218.3,Ti:206.1,Pt:165.9,,,,,,,,,,,,,,,,,
Ta:1363.2,C_:353.2,Cr:270.0,Al:258.5,Fe:153.9,,,,,,,,,,,,,,,,,,,
Nb:3075.9,Ni:1541.9,Ni:1447.6,Ta:1360.3,Fe:1283.3,V_:517.6,S :514.3,Ti:401.7,Cr:357.9,P :303.2,Pt:215.6,Pb:211.6,K_:188.5,Mo:156.6,,,,,,,,,,
Au:3899.8,W_:1461.1,Ta:1324.6,Ti:859.5,Cr:757.0,Nb:755.1,Co:690.7,S :346.4,V_:336.4,K_:279.0,P :201.7,,,,,,,,,,,,,
Nb:1965.0,Ti:1883.4,Ta:1303.0,W_:1031.0,S :611.0,K_:369.1,P :254.8,Ni:203.6,Au:158.1,,,,,,,,,,,,,,,
Nb:1811.2,Cr:1386.4,Ta:1302.1,W_:1285.6,Au:899.4,Ni:277.7,Pb:266.2,V_:235.8,,,,,,,,,,,,,,,,
Cr:2562.1,Ta:1300.1,Ca:733.6,W_:405.3,S :169.1,,,,,,,,,,,,,,,,,,,
Ta:1280.3,Nb:1257.9,C_:852.6,Mo:635.8,Pt:497.7,Zr:363.5,W_:194.6,,,,,,,,,,,,,,,,,
W_:8270.9,Fe:1822.4,Ta:1264.1,Ti:1001.2,Nb:774.3,Zr:635.7,S :172.5,P :168.0,K_:160.5,,,,,,,,,,,,,,,
W_:5163.2,Ca:2308.0,Ta:1247.7,Zr:1027.0,S :276.0,Mo:158.7,,,,,,,,,,,,,,,,,,
Fe:4810.9,Au:3899.8,Mo:2545.1,Pt:1908.0,W_:1461.1,Zr:1287.9,Ta:1220.9,Ti:859.5,V_:566.4,S :346.4,K_:279.0,S :215.2,P :201.7,P :163.9,,,,,,,,,,
In:4197.1,V_:1484.4,Ta:1199.1,Cr:275.1,K_:228.8,,,,,,,,,,,,,,,,,,,
Nb:1604.5,Ta:1188.4,Cr:451.5,C_:324.1,Zr:244.5,Fe:238.9,Pt:234.2,S :220.2,Mo:161.5,Fe:153.9,,,,,,,,,,,,,,
W_:3236.0,Ta:1181.7,S :380.6,S :372.1,K_:247.0,P :196.3,C_:177.5,K_:159.9,C_:155.7,,,,,,,,,,,,,,,
Mo:4839.7,Pt:3616.1,V_:3035.5,Nb:2043.2,Ta:1168.2,Ni:391.8,Zr:318.4,S :314.2,C_:155.7,,,,,,,,,,,,,,,
Cd:4948.9,Cr:3122.3,Pd:2966.0,Fe:2493.0,Ta:1165.0,Ti:395.2,Nb:327.4,V_:267.4,Au:229.6,,,,,,,,,,,,,,,
Mo:3351.6,Pt:2717.2,V_:1411.2,Ta:1162.8,Pd:529.2,W_:428.4,S :358.5,Ti:285.0,P :158.2,Au:150.7,K_:150.5,,,,,,,,,,,,,
Ca:10688.6,Cr:4058.9,Fe:2367.8,W_:1623.8,Ta:1128.5,C_:796.3,Co:640.1,Mo:268.1,,,,,,,,,,,,,,,,
Ta:1117.2,Cr:1030.3,C_:777.8,V_:758.9,V_:732.0,Nb:718.8,Fe:652.0,P :285.4,P :225.4,S :218.5,S :169.5,,,,,,,,,,,,,
Nb:1752.8,Ta:1106.6,V_:486.0,Mo:346.3,Pt:290.7,W_:216.8,Co:167.0,,,,,,,,,,,,,,,,,
