0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
V_:1572.8,Ca:1281.6,Zr:801.0,S :715.0,Fe:554.3,Ti:397.6,K_:327.4,P :238.1,,,,,,,,,,,,,
V_:1568.9,Ca:1446.2,Ti:1314.0,Mo:1294.2,Pt:1003.0,Nb:840.8,W_:491.5,Ta:374.8,K_:162.7,,,,,,,,,,,,
Mo:7071.8,Pt:6584.2,W_:3431.9,V_:1562.4,Ta:896.0,S :712.0,K_:271.9,Zr:262.7,P :207.1,Au:181.9,,,,,,,,,,,
V_:1553.7,Nb:943.9,Ta:863.1,Ti:289.8,S :242.5,K_:200.9,,,,,,,,,,,,,,,
Nb:6936.0,In:3197.7,V_:1531.7,Mo:989.2,S :769.3,S :756.2,Pt:670.8,K_:375.8,K_:359.6,Zr:340.1,W_:267.0,Ti:261.0,Au:231.9,Cr:174.0,Au:167.5,,,,,,
Nb:1667.2,V_:1529.4,Ta:1504.4,Mo:872.2,Cr:569.3,Pt:557.3,Zr:511.8,K_:404.0,C_:292.0,Ni:239.1,S :225.6,,,,,,,,,,
Mo:2448.6,Pt:1609.3,V_:1507.6,Cr:583.3,Cr:569.0,Ti:339.3,C_:267.8,Nb:226.1,S :196.1,S :195.9,Au:173.9,Au:170.6,K_:164.0,,,,,,,,
In:4197.1,V_:1484.4,Ta:1199.1,Cr:275.1,K_:228.8,,,,,,,,,,,,,,,,
V_:1481.0,Nb:668.9,S :370.5,S :340.9,Zr:255.4,Mo:207.1,Au:174.7,Au:150.9,,,,,,,,,,,,,
Fe:4272.7,Ti:2557.2,W_:1891.5,V_:1416.1,K_:1098.9,Ca:1041.2,S :405.6,Zr:364.0,P :162.0,,,,,,,,,,,,
Mo:3351.6,Pt:2717.2,V_:1411.2,Ta:1162.8,Pd:529.2,W_:428.4,S :358.5,Ti:285.0,Fe:279.6,Ag:229.4,P :158.2,Au:150.7,K_:150.5,,,,,,,,
Mo:8651.9,Pt:7653.7,Zr:1914.0,V_:1406.8,Fe:1324.4,K_:572.2,Ta:413.7,S :261.8,,,,,,,,,,,,,
Nb:1925.0,V_:1389.9,W_:1123.8,Ta:473.9,S :243.7,Zr:190.8,Ni:158.3,,,,,,,,,,,,,,
Cr:2399.1,V_:1364.2,Ti:1217.6,W_:799.0,W_:679.1,S :177.6,Co:168.8,Ta:162.7,,,,,,,,,,,,,
Pd:2946.9,V_:1356.1,Co:859.6,Ti:352.0,Ta:344.0,Ta:290.5,,,,,,,,,,,,,,,
Ta:1534.5,Fe:1502.6,V_:1353.4,Ti:603.9,S :590.3,K_:427.1,P :417.8,Nb:244.2,,,,,,,,,,,,,
