0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Cr:10068.4,Nb:3143.3,Mo:1022.3,Zr:634.3,Pt:546.2,S :537.2,Zr:517.1,Ta:464.6,P :259.9,Ti:250.3,W_:220.6,,,,,,
Nb:3133.7,C_:641.6,Ta:322.9,Ni:308.0,K_:291.8,S :186.8,Zr:162.6,,,,,,,,,,
Nb:3124.4,Ti:1114.1,Ta:758.1,W_:345.1,Cu:336.4,,,,,,,,,,,,
Nb:3123.2,Fe:769.6,V_:353.6,C_:335.8,,,,,,,,,,,,,
Nb:3080.0,Mo:2393.9,Pt:1904.0,Ti:1786.7,Cr:1006.1,Zr:639.1,W_:591.1,W_:559.2,,,,,,,,,
Nb:3075.9,Ni:1541.9,Ni:1447.6,Ta:1360.3,Fe:1283.3,V_:517.6,S :514.3,Ti:401.7,Cr:357.9,P :303.2,Pt:215.6,Pb:211.6,K_:188.5,Mo:156.6,,,
Nb:3033.3,Mo:1269.1,V_:788.2,Pt:779.3,V_:354.1,Zr:279.2,Co:224.5,W_:169.4,,,,,,,,,
Nb:3019.1,,,,,,,,,,,,,,,,
Nb:2984.4,S :1140.5,K_:911.3,P :742.6,Mo:318.5,Zr:267.8,,,,,,,,,,,
Nb:2977.9,Mo:1366.3,C_:1206.5,Pt:1113.8,Zr:1081.7,Cr:969.4,Ta:641.1,S :525.8,K_:350.0,W_:282.2,P :241.6,,,,,,
Mo:4752.7,Fe:4143.0,Pt:4127.1,Nb:2967.7,Zr:934.7,Ti:812.5,Cr:793.6,W_:733.8,Ta:293.0,S :165.9,,,,,,,
Nb:2953.7,Fe:2550.2,Zr:1019.3,Ta:465.5,Mo:317.0,K_:174.0,,,,,,,,,,,
Nb:2893.5,Ta:625.0,W_:508.1,K_:337.1,C_:188.4,Mo:164.1,,,,,,,,,,,
Nb:2888.7,V_:1606.2,W_:914.8,Ta:876.1,Zr:700.7,S :304.2,K_:190.7,,,,,,,,,,
Nb:2871.8,Ti:884.6,C_:571.7,Zr:483.6,C_:197.2,Pt:175.8,,,,,,,,,,,
