0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Co:1579.2,Ni:953.7,Cr:541.4,Nb:238.2,,,,,,,,,,,,,,,,,,,,
Ni:940.8,Ge:895.0,Fe:188.1,Nb:179.7,,,,,,,,,,,,,,,,,,,,
Ni:854.0,Pd:441.2,,,,,,,,,,,,,,,,,,,,,,
Ni:818.3,Cr:369.4,Ta:368.9,Mo:238.0,Zr:230.4,,,,,,,,,,,,,,,,,,,
Mo:978.9,Ni:787.9,Pt:620.1,Ta:432.4,Ti:279.1,Zr:264.3,S :158.3,P :155.2,,,,,,,,,,,,,,,,
Pd:1524.8,Pd:1301.1,Ni:770.9,Ta:619.6,Cu:308.5,P :210.6,W_:207.1,In:180.4,Zr:172.0,,,,,,,,,,,,,,,
Mo:3399.1,Pt:2130.4,Pd:1838.4,Ni:731.0,Cr:583.3,Ta:364.1,Ti:361.4,C_:284.8,Nb:226.1,S :195.9,Au:170.6,,,,,,,,,,,,,
Zr:1713.9,V_:761.6,Ni:695.3,Nb:557.5,W_:463.1,S :409.0,Ta:392.6,Pd:291.3,Cd:261.1,P :205.9,,,,,,,,,,,,,,
Nb:4115.6,Ti:2048.4,Ni:641.8,C_:596.3,Ta:456.7,Ta:266.7,Mo:172.7,,,,,,,,,,,,,,,,,
Mo:2039.4,Nb:1348.1,Pt:1191.3,Zr:1041.0,Co:801.5,Ni:602.6,V_:293.3,V_:291.2,W_:266.2,Pd:185.3,,,,,,,,,,,,,,
Al:5073.9,Mo:1986.8,Nb:1406.1,Pt:1153.0,C_:1148.8,Ni:595.6,V_:481.2,Co:459.8,Fe:261.2,S :230.4,Ag:178.3,Ta:158.3,,,,,,,,,,,,
Co:3701.5,Nb:1121.9,Au:943.4,Zr:736.6,C_:639.9,Ni:577.0,Pt:236.8,,,,,,,,,,,,,,,,,
Ti:4348.7,C_:635.6,Ni:572.8,Zr:381.1,Pt:233.4,Pt:161.1,,,,,,,,,,,,,,,,,,
Ni:570.1,,,,,,,,,,,,,,,,,,,,,,,
Pd:2946.9,Fe:1315.9,W_:1118.6,Nb:854.3,Mo:795.0,Ni:553.1,Cr:478.7,Pt:375.0,Ti:352.0,Zr:295.6,Ta:290.5,S :212.6,,,,,,,,,,,,
Nb:1093.0,Ni:542.8,Ti:504.5,Fe:493.5,W_:412.0,Pd:191.3,,,,,,,,,,,,,,,,,,
Ti:750.9,Ni:540.8,V_:537.2,S :177.0,,,,,,,,,,,,,,,,,,,,
Nb:3657.0,Ni:529.2,S :490.7,Mo:487.4,K_:337.6,Pt:313.0,P :289.4,Ti:282.3,Zr:241.6,Al:240.3,,,,,,,,,,,,,,
