0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Zr:3315.2,W_:2140.0,Mo:1992.3,Pt:1404.0,Nb:1041.1,V_:506.9,Cr:443.7,S :371.6,P :279.4,K_:275.9,Au:173.3,,,,
Nb:3465.9,Fe:3464.8,Cr:2315.5,Mo:1990.1,Pt:1340.5,Zr:756.4,S :228.3,Ta:188.6,,,,,,,
Al:5073.9,Mo:1986.8,Cr:1636.6,Nb:1406.1,Pt:1153.0,C_:1148.8,Co:714.8,Ni:595.6,V_:481.2,Zr:357.3,Fe:261.2,S :230.4,Ag:178.3,Ta:158.3,
Mo:1916.6,Pt:1418.9,W_:592.5,C_:470.2,Ni:397.8,Zr:188.4,Nb:183.7,,,,,,,,
Mo:1902.2,Pd:1755.9,Co:1702.7,Pt:1294.7,Cd:1029.1,Ta:747.8,Si:337.0,W_:177.7,Cr:159.6,,,,,,
Ni:3151.5,Mo:1887.1,Pt:1335.8,Cr:750.9,Zr:641.1,Ta:628.8,W_:451.6,K_:277.7,Cd:212.2,,,,,,
Mo:1831.7,Pt:917.9,W_:663.5,Zr:404.2,Ti:346.5,S :272.7,Cr:182.4,Pb:161.4,V_:156.6,P :156.3,,,,,
Mo:1760.7,Pt:1364.5,W_:887.6,Zr:451.0,Ta:287.3,V_:253.7,P :177.6,,,,,,,,
Mo:1759.4,Pt:1128.0,C_:821.2,S :172.6,K_:166.1,Zr:162.6,,,,,,,,,
Mo:1721.9,Pt:1191.1,Fe:492.8,C_:452.1,S :265.1,K_:246.3,P :184.5,,,,,,,,
W_:2274.2,Mo:1721.6,Zr:1220.5,Fe:1171.7,Pt:1137.8,Ta:683.0,K_:156.3,,,,,,,,
Co:1711.6,Mo:1707.9,Pt:1046.7,Ta:964.4,V_:224.1,Ti:151.4,,,,,,,,,
Mo:1685.5,Co:1373.9,Pt:882.2,Fe:481.1,W_:307.8,,,,,,,,,,
Au:2812.9,K_:1826.5,Mo:1677.8,Cr:1231.3,Pt:1097.6,Zr:599.1,Ti:514.2,Co:439.4,Zn:217.6,S :212.3,W_:156.4,,,,
Nb:2278.2,Mo:1606.3,Pt:979.6,Ti:977.5,Fe:679.8,W_:509.0,S :253.1,V_:227.3,P :167.6,,,,,,
Mo:1590.2,Zr:1367.2,Pt:1325.8,C_:590.5,Ta:283.7,V_:226.6,,,,,,,,,
Ag:2053.7,Mo:1584.7,Pt:1149.7,Ta:602.4,Nb:365.4,Ti:332.2,W_:298.2,Zn:258.4,,,,,,,
Fe:2726.2,Mo:1577.4,C_:1289.1,Pt:1067.9,W_:198.7,,,,,,,,,,
W_:4664.5,V_:2343.2,Mo:1571.3,Nb:1521.8,Pt:1252.2,Ta:1035.8,Ta:843.9,Zr:836.8,,,,,,,
Mo:1525.4,Fe:1347.8,Ti:1345.8,Nb:1273.7,Pt:1068.0,Ta:562.3,Zr:420.2,W_:374.1,C_:331.0,,,,,,
W_:8166.5,Mo:1510.5,S :1148.5,Pt:1036.4,K_:790.1,Cr:709.2,P :641.4,In:340.7,Ca:331.5,Pb:185.2,V_:160.8,,,,
Nb:2045.6,Mo:1499.5,Pt:903.2,W_:571.9,Ta:324.5,,,,,,,,,,
Mo:1493.6,Nb:1341.1,Pt:763.0,Ti:592.2,V_:235.4,Ta:233.8,S :206.0,Au:153.1,P :151.9,,,,,,
Mo:1482.9,Pt:1063.3,Nb:479.7,,,,,,,,,,,,
Ti:1498.9,Mo:1479.3,Pt:1282.1,Ta:887.9,P :742.6,W_:471.3,Zr:469.5,,,,,,,,
V_:2204.7,Mo:1457.1,Pt:1146.5,Ta:1005.2,Nb:335.9,S :246.3,,,,,,,,,
Mo:1455.7,Pt:1110.5,Nb:698.2,C_:393.9,Zr:316.2,Ta:221.4,,,,,,,,,
Ti:3747.8,W_:3201.1,Mo:1454.7,Pt:1077.9,Nb:940.4,V_:900.1,C_:766.7,Cr:684.5,,,,,,,
Mo:1452.3,Pt:907.0,Nb:252.2,Cr:239.2,Zr:185.5,,,,,,,,,,
Mo:1438.4,Zr:1131.0,Pt:905.1,Cr:887.2,V_:476.3,W_:471.2,Nb:378.1,Ta:364.3,W_:311.6,S :235.9,,,,,
Ti:1730.8,Mo:1417.8,Pt:1130.0,Nb:469.0,W_:441.1,S :304.6,V_:214.8,P :190.4,,,,,,,
Mo:1411.6,Pt:1132.8,Ta:159.4,,,,,,,,,,,,
Ni:5399.1,Mo:1383.3,Co:1373.9,Fe:630.9,Nb:225.2,,,,,,,,,,
W_:3056.2,Mo:1379.8,Ta:905.9,Pt:848.5,Nb:698.4,P :329.5,Zr:239.0,K_:193.0,,,,,,,
Mo:1374.0,Zr:1060.6,Pt:968.5,Ta:325.3,Ta:300.4,Ti:173.8,V_:173.0,S :169.0,Nb:156.5,,,,,,
Ni:1615.5,Mo:1367.9,Pt:1128.1,Nb:705.1,Zr:415.5,Cr:272.2,W_:206.6,,,,,,,,
Nb:2977.9,Mo:1366.3,Pt:1113.8,Zr:1081.7,Cr:969.4,Ta:641.1,S :525.8,K_:350.0,W_:282.2,P :241.6,,,,,
Zr:2927.7,Mo:1363.0,Nb:1317.8,Pt:1065.7,W_:762.0,Ta:357.6,S :239.1,,,,,,,,
Nb:1708.8,Mo:1311.1,Co:847.8,Zr:748.5,Pt:701.1,S :440.7,K_:419.1,Ni:400.9,P :303.2,Ta:205.0,Au:203.3,W_:187.1,,,
Fe:1906.1,Mo:1309.0,Pt:795.5,Zr:517.1,S :413.4,P :246.9,W_:220.6,W_:210.3,,,,,,,
Zr:3179.9,Mo:1302.9,Nb:1204.7,Pt:844.2,V_:320.8,W_:239.8,Cr:196.7,Ni:172.4,,,,,,,
Zr:1586.0,Mo:1300.2,Pt:905.1,Nb:763.9,S :300.2,Cd:299.1,Ni:210.9,K_:209.5,,,,,,,
V_:1568.9,Ca:1446.2,Ti:1314.0,Mo:1294.2,Pt:1003.0,Nb:840.8,W_:491.5,Ta:374.8,K_:162.7,,,,,,
Mo:1294.0,Pt:878.3,,,,,,,,,,,,,
Mo:1293.3,Pt:924.9,S :380.6,Zr:296.4,Co:247.9,K_:247.0,P :178.1,C_:177.5,,,,,,,
Zn:1720.9,Mo:1291.0,Pt:829.0,W_:796.4,Cr:465.0,Ta:283.1,Ni:213.8,S :185.2,Ag:150.5,,,,,,
Cr:4845.1,Nb:1731.8,Mo:1284.1,Pt:1056.7,S :882.5,K_:594.0,P :508.1,Fe:270.6,Ta:217.5,Ta:180.9,,,,,
Nb:3033.3,Mo:1269.1,V_:788.2,Pt:779.3,V_:354.1,Zr:279.2,Co:224.5,W_:169.4,,,,,,,
I_:1818.1,Pd:1713.5,Mo:1250.1,Cr:685.5,Si:659.4,Ta:372.2,Zr:363.6,Au:300.3,Ag:289.4,W_:267.7,K_:150.7,,,,
Mo:1233.1,V_:1199.2,Pt:776.4,Zr:599.1,Ti:239.3,Zn:215.5,,,,,,,,,
Ni:3011.3,Mo:1224.4,Pt:854.3,Nb:745.4,Fe:588.8,Ta:220.5,V_:195.2,Ag:160.1,,,,,,,
