0,1,2,3,4,5
W_| 1.00:1.00,I_| 1.00:0.00,Pb| 0.62:0.06,Au| 0.60:0.13,Zn| 0.60:0.04,Cr| 0.60:0.37
In| 0.59:0.06,P | 0.59:0.24,K_| 0.59:0.32,Ti| 0.58:0.40,Ca| 0.58:0.07,V_| 0.58:0.39
S | 0.57:0.56,Bi| 0.57:0.01,Fe| 0.57:0.25,Ta| 0.56:0.64,Zr| 0.56:0.53,Pd| 0.55:0.09
Nb| 0.54:0.62,Mo| 0.54:0.52,Co| 0.53:0.19,Pt| 0.53:0.49,Ni| 0.50:0.18,C_| 0.47:0.20
Sb| 0.40:0.01,Al| 0.39:0.02,Cd| 0.36:0.03,Cu| 0.33:0.01,Ag| 0.30:0.02,Sn| 0.27:0.01
Ge| 0.25:0.01,Si| 0.20:0.00,,,,
