0,1,2,3,4,5,6,7,8,9,10,11,12,13
Co:769.5,Zr:382.3,S :198.4,K_:190.0,Sn:154.6,,,,,,,,,
Nb:1390.8,Co:760.1,Zr:479.9,Fe:282.8,V_:279.6,Au:201.7,,,,,,,,
Ta:2446.6,Cr:1895.9,V_:798.3,Co:721.2,W_:536.2,Mo:508.7,Pt:506.9,Nb:356.1,S :318.4,Zr:251.5,K_:172.2,In:165.9,,
Mo:1986.8,Cr:1636.6,Nb:1406.1,Pt:1153.0,Co:714.8,V_:481.2,Zr:357.3,S :230.4,Ta:191.3,Ta:158.3,S :157.6,,,
Ti:1777.5,Al:1499.7,Nb:933.9,Co:707.0,S :175.6,C_:162.4,V_:157.0,,,,,,,
Au:3899.8,W_:1461.1,Ta:1324.6,Ti:859.5,Cr:757.0,Nb:755.1,Co:690.7,S :346.4,V_:336.4,K_:279.0,P :201.7,,,
Nb:1283.3,W_:834.5,Co:670.8,V_:451.2,,,,,,,,,,
Ca:10688.6,Cr:4058.9,Fe:2367.8,W_:1623.8,Ta:1128.5,C_:796.3,Co:640.1,Mo:268.1,,,,,,
Fe:3564.7,Cr:2236.7,Mo:723.9,Co:611.9,S :600.7,W_:518.2,V_:497.1,Pt:398.5,Nb:395.0,K_:315.0,P :271.2,Zr:230.5,Ni:167.6,
Cr:3669.4,Ta:851.3,Mo:698.2,Co:579.4,S :509.5,K_:492.6,Pt:428.0,Zr:394.4,S :341.9,K_:330.9,W_:325.3,,,
Fe:2890.3,W_:1076.0,Co:572.2,Zr:480.8,S :360.7,Ta:325.4,Cd:196.9,,,,,,,
Zr:3760.0,Ta:3418.8,Co:558.7,S :403.8,Cr:218.8,,,,,,,,,
Pb:924.6,Co:556.1,Mo:470.3,Ta:339.4,Pt:308.2,Fe:286.6,S :253.2,Zr:227.1,Au:214.2,K_:212.9,P :210.6,Ni:152.6,,
Ag:1997.8,Co:539.3,Zn:481.9,Zr:223.0,,,,,,,,,,
Cr:3669.4,Nb:2016.5,Fe:1265.7,Ta:958.5,Ta:851.3,Zr:749.2,Co:532.6,S :509.5,K_:492.6,P :321.5,Al:222.1,,,
Ni:2038.3,Mo:812.3,Zr:731.3,Pt:668.5,Co:515.6,W_:339.9,Cr:327.9,W_:313.1,,,,,,
Co:465.6,,,,,,,,,,,,,
Cd:4948.9,Ni:3460.9,Pd:2966.0,Co:461.8,Ti:395.2,S :157.7,,,,,,,,
Al:5073.9,C_:1148.8,Ni:595.6,Co:459.8,Fe:261.2,Ag:178.3,,,,,,,,
Ta:479.6,Co:457.6,Nb:411.7,S :391.1,Mo:344.2,Zr:229.5,V_:186.3,,,,,,,
Au:2812.9,K_:1826.5,Mo:1677.8,Cr:1231.3,Pt:1097.6,Zr:599.1,Ti:514.2,Co:439.4,Zn:217.6,S :212.3,W_:156.4,,,
Pt:447.7,Co:439.3,W_:365.2,In:244.6,Mo:233.3,,,,,,,,,
Co:438.4,W_:293.2,Zr:284.3,Ti:258.9,S :165.6,K_:153.0,,,,,,,,
Mo:990.0,Pt:635.7,Co:422.5,,,,,,,,,,,
Co:412.9,Nb:266.9,S :259.4,S :225.1,P :184.7,,,,,,,,,
W_:3381.7,Nb:1114.5,Cr:862.3,Ta:852.2,Ta:772.4,Zr:423.1,Co:386.0,Fe:266.2,Au:220.0,K_:208.5,K_:203.3,Pt:191.3,,
Nb:3245.3,V_:2137.3,Cr:1342.8,Co:378.6,Ca:343.9,Zr:228.3,Mo:212.0,,,,,,,
Nb:815.3,K_:422.5,Co:375.2,P :207.5,Cr:202.9,,,,,,,,,
Pd:2542.9,Ti:2235.4,Fe:968.4,Ta:682.5,Nb:506.8,K_:484.4,S :467.7,Nb:462.4,S :383.9,Co:375.0,P :304.7,Mo:281.5,,
Nb:1912.0,Ta:1568.1,Cr:831.1,Mo:666.7,W_:441.2,Pt:440.1,Co:363.9,Zr:285.0,,,,,,
Ca:1780.5,Ti:625.2,Co:363.5,Nb:255.2,Ta:174.7,Zr:156.8,,,,,,,,
Co:348.0,W_:168.3,Ta:158.9,,,,,,,,,,,
Ni:2636.6,V_:826.6,Ta:371.9,Co:322.2,Pt:243.2,S :164.8,,,,,,,,
Fe:2942.9,Mo:396.3,Cr:345.7,Co:320.8,W_:270.7,Ni:249.9,Zr:220.7,Ta:193.5,V_:165.5,,,,,
Ti:1308.1,Co:314.5,S :160.2,,,,,,,,,,,
Nb:1707.5,V_:1580.2,Zr:1148.7,Mo:1061.5,Pt:832.3,Ti:724.8,S :320.8,Co:311.4,Ni:292.6,Ta:228.6,K_:180.4,,,
Ni:367.9,Co:306.5,Mo:270.8,Ag:259.2,,,,,,,,,,
Ni:1070.3,Nb:471.3,Co:300.9,Nb:289.8,Mo:233.9,K_:182.0,Ti:177.6,S :174.6,Ag:170.4,S :162.6,,,,
Nb:6615.0,Pb:4889.1,Cr:1095.4,Ti:683.5,V_:627.5,W_:320.4,Co:298.7,P :201.7,,,,,,
Nb:2551.9,S :1298.8,K_:1078.3,Ti:743.1,Ta:433.1,Co:292.5,W_:175.1,,,,,,,
Ta:2178.1,S :371.1,Nb:350.4,K_:345.9,Ti:306.2,Co:290.8,W_:258.9,Zr:237.1,,,,,,
Al:4648.1,C_:2093.2,Ti:1240.5,Ni:1081.5,Zr:562.7,Mo:421.0,Ag:356.0,Co:289.0,P :214.6,,,,,
Ni:7899.9,Fe:2499.1,W_:2448.2,Nb:1216.1,Co:286.0,V_:240.6,Pb:232.5,Pb:228.9,K_:162.6,,,,,
Nb:1477.8,W_:796.4,Ti:303.6,Ta:283.1,Co:279.9,Ni:213.8,Ni:193.2,S :185.2,,,,,,
Mo:487.1,Pt:294.1,Co:274.7,,,,,,,,,,,
Cr:2000.1,Nb:1345.7,V_:1273.5,Au:463.8,Ca:285.0,Co:273.5,S :204.9,Ta:199.8,,,,,,
Co:254.3,Mo:207.8,Nb:201.1,W_:151.1,,,,,,,,,,
Cr:1342.4,Mo:1293.3,Pt:924.9,Zr:296.4,Co:247.9,S :185.9,P :178.1,,,,,,,
Cr:1674.7,Ta:1065.6,Ti:986.0,Mo:810.3,W_:722.4,Nb:656.7,Ca:336.1,Ni:232.2,Co:226.8,,,,,
Nb:3033.3,Mo:1269.1,V_:788.2,Pt:779.3,V_:354.1,Zr:279.2,Co:224.5,W_:169.4,,,,,,
Pb:2050.9,Nb:1705.0,Cr:1674.7,Ta:1065.6,Mo:810.3,W_:722.4,Fe:373.6,V_:328.1,Ni:232.2,Co:212.7,Zr:162.2,,,
Zr:256.8,Co:196.3,,,,,,,,,,,,
W_:459.7,Mo:354.5,Pt:337.6,Co:193.9,,,,,,,,,,
Cr:954.2,W_:871.5,V_:788.2,Zr:686.5,V_:434.4,S :288.2,Co:184.4,,,,,,,
Cd:795.4,In:626.4,Sn:490.7,Nb:430.6,Nb:417.8,Ta:384.3,Zr:303.4,W_:226.1,K_:178.8,Co:177.9,S :176.1,K_:173.3,Ag:172.4,
Ta:3488.6,Cr:3072.4,Nb:974.5,V_:434.4,Ni:382.1,Co:174.2,,,,,,,,
Ta:1618.9,Nb:520.3,Zr:366.7,W_:324.1,Mo:293.2,S :281.7,Pt:210.7,V_:203.1,Co:173.1,,,,,
Ti:1540.0,Ta:1013.1,V_:823.8,S :275.2,Pt:208.7,Co:172.6,Mo:156.1,,,,,,,
Fe:2884.0,W_:1758.4,Nb:1742.6,Cr:1735.5,Ti:602.4,Mo:546.6,Ta:467.5,S :346.1,Pt:295.9,V_:213.0,Co:171.7,,,
Cr:2399.1,V_:1364.2,Ti:1217.6,Zr:1036.4,W_:799.0,Nb:717.6,S :177.6,Co:168.8,Ta:162.7,,,,,
Ta:1106.6,V_:486.0,Pt:290.7,W_:216.8,Co:167.0,,,,,,,,,
Nb:4382.3,Cr:199.6,Zr:199.5,Co:165.9,K_:160.5,In:151.3,,,,,,,,
Ni:3044.2,Ag:2066.1,Mo:1080.1,Pt:654.8,Nb:429.5,Co:162.7,,,,,,,,
Sn:380.0,Ta:215.6,Co:161.7,,,,,,,,,,,
Nb:4735.4,V_:846.3,Ta:625.0,Zr:517.6,S :461.7,Fe:238.8,W_:184.4,Co:159.1,,,,,,
Ni:1241.1,Mo:877.3,Pt:585.6,Zr:510.5,W_:466.2,Sb:234.0,P :231.8,Ti:170.9,Co:159.1,,,,,
Ta:2966.4,Ti:1896.5,C_:948.9,Zr:896.6,Mo:231.0,V_:183.6,Co:158.7,,,,,,,
Ta:275.4,Nb:225.2,Co:158.0,,,,,,,,,,,
Ni:1107.8,W_:633.0,Fe:291.2,Ta:249.9,Co:157.3,,,,,,,,,
Pt:416.2,W_:335.7,Nb:317.1,P :243.3,P :231.8,Ti:170.9,Ti:156.7,Co:152.6,,,,,,
Ta:1734.4,Nb:1371.0,S :490.0,Zr:348.8,Fe:178.0,Co:152.4,Pt:151.6,,,,,,,
V_:1129.8,Mo:437.4,Ta:415.7,Pd:396.1,W_:323.1,Pt:284.4,Co:150.8,,,,,,,
