0,1,2,3,4,5
Pd| 1.00:1.00,I_| 1.00:0.02,Si| 0.40:0.04,Cd| 0.32:0.15,Sn| 0.27:0.06,Cu| 0.22:0.04
Sb| 0.20:0.02,Ni| 0.15:0.34,In| 0.15:0.09,Ag| 0.13:0.06,Fe| 0.10:0.28,Zn| 0.10:0.04
Au| 0.10:0.13,Co| 0.09:0.21,Ta| 0.09:0.64,W_| 0.09:0.55,Nb| 0.08:0.60,Mo| 0.08:0.49
S | 0.08:0.49,C_| 0.08:0.21,Cr| 0.07:0.28,Zr| 0.07:0.42,Pt| 0.07:0.40,P | 0.07:0.17
V_| 0.07:0.28,Pb| 0.06:0.04,Ti| 0.06:0.26,K_| 0.06:0.19,Ca| 0.03:0.02,
,,,,,
