0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
W_:2628.7,C_:587.0,Ni:389.0,Nb:384.5,Zr:237.0,Pt:236.1,,,,,,,,,,,,,,,,,,
Zr:1610.3,Ta:1490.5,Mo:702.5,Nb:660.6,C_:574.0,Pd:430.5,Pt:405.8,Ni:370.6,Cd:160.4,,,,,,,,,,,,,,,
Nb:2871.8,Ti:884.6,C_:571.7,Zr:483.6,Ta:337.4,Cr:249.0,Cd:180.6,Pt:175.8,Zn:154.8,,,,,,,,,,,,,,,
Ti:4422.6,C_:568.3,Ta:401.7,Mo:166.5,Pt:159.8,,,,,,,,,,,,,,,,,,,
C_:549.4,Al:445.6,K_:319.7,Ta:209.7,S :187.3,Ni:170.8,Ti:164.8,,,,,,,,,,,,,,,,,
Zr:3376.9,Nb:3192.6,Ti:2430.3,Ta:2080.1,Au:678.8,C_:543.3,Cr:488.5,,,,,,,,,,,,,,,,,
Nb:1519.4,C_:541.7,W_:411.3,S :388.2,Ta:313.0,Pt:298.1,P :271.1,Mo:196.6,,,,,,,,,,,,,,,,
Ti:2556.1,Nb:1906.8,C_:539.1,S :405.0,Ta:342.5,Zr:283.9,P :208.7,K_:179.9,Pt:155.1,,,,,,,,,,,,,,,
Nb:4483.4,Zr:893.7,Pt:604.5,C_:537.3,Pb:522.9,S :385.0,Ta:330.7,S :249.4,Ta:237.5,Mo:222.7,K_:195.0,P :190.3,W_:183.6,P :157.8,,,,,,,,,,
Mo:635.8,C_:522.9,Pt:497.7,,,,,,,,,,,,,,,,,,,,,
C_:509.2,Ta:259.5,S :215.4,K_:154.1,,,,,,,,,,,,,,,,,,,,
Zr:2141.1,Nb:913.0,Mo:888.9,Pt:677.6,C_:481.0,Ta:182.7,,,,,,,,,,,,,,,,,,
Nb:5436.4,Zr:3124.8,Mo:1146.8,Ni:1001.3,Pt:777.7,Al:492.0,C_:479.9,K_:430.1,Cr:166.3,,,,,,,,,,,,,,,
Nb:1133.9,C_:479.4,S :214.2,,,,,,,,,,,,,,,,,,,,,
Nb:1017.0,Ti:639.0,Pt:599.2,C_:478.5,Pd:366.4,W_:321.5,Cr:278.3,Fe:150.7,,,,,,,,,,,,,,,,
Ti:2956.6,Nb:667.3,C_:476.1,Ta:169.2,Pt:151.4,,,,,,,,,,,,,,,,,,,
Ti:2796.8,Mo:1078.6,Nb:1051.4,Pt:608.0,C_:474.5,Ta:427.0,Zr:375.1,S :368.4,K_:345.1,Fe:276.9,P :230.0,,,,,,,,,,,,,
Cd:7890.6,Zr:1109.8,Ti:755.3,Ta:688.1,Nb:677.6,C_:470.6,,,,,,,,,,,,,,,,,,
Mo:1916.6,Pt:1418.9,W_:592.5,C_:470.2,Ni:397.8,Zr:188.4,Nb:183.7,,,,,,,,,,,,,,,,,
Mo:630.0,V_:608.8,C_:468.7,Pt:411.3,Ta:260.3,S :171.4,K_:151.4,,,,,,,,,,,,,,,,,
Zr:1413.4,Nb:892.5,W_:476.5,C_:466.5,Ta:268.7,S :254.4,Cr:219.4,,,,,,,,,,,,,,,,,
W_:6020.0,Nb:1215.9,Ti:686.3,C_:465.2,Mo:369.0,Pt:291.9,Cr:230.0,Zr:227.4,Ta:168.0,,,,,,,,,,,,,,,
Nb:5436.4,Zr:3124.8,Ta:729.7,C_:461.5,K_:430.1,Cr:166.3,Pt:156.0,,,,,,,,,,,,,,,,,
Au:2490.7,Fe:1137.0,Nb:801.7,K_:771.7,W_:584.0,Zr:547.6,V_:454.4,C_:453.9,Ti:427.8,,,,,,,,,,,,,,,
Mo:1721.9,Pt:1191.1,Fe:492.8,C_:452.1,S :265.1,K_:246.3,P :184.5,,,,,,,,,,,,,,,,,
Nb:725.7,C_:446.9,Al:364.3,Ta:337.4,Cr:249.0,Mo:231.9,W_:229.7,Cd:196.4,Cd:180.6,Zn:154.8,,,,,,,,,,,,,,
Nb:1113.6,Mo:669.5,S :639.4,Pt:578.5,C_:444.1,W_:254.4,Ta:228.3,,,,,,,,,,,,,,,,,
