0,1,2,3,4,5
I_| 1.00:0.01,Au| 1.00:1.00,Sb| 0.60:0.04,Pb| 0.38:0.16,In| 0.24:0.11,Zn| 0.20:0.05
Si| 0.20:0.01,Ca| 0.18:0.10,Sn| 0.18:0.03,Cr| 0.17:0.48,V_| 0.16:0.51,Cd| 0.16:0.05
K_| 0.15:0.38,Co| 0.15:0.25,Fe| 0.15:0.30,Bi| 0.14:0.01,S | 0.14:0.63,Ta| 0.14:0.74
Ti| 0.14:0.44,P | 0.14:0.26,Ni| 0.13:0.22,Pd| 0.13:0.10,W_| 0.13:0.60,Zr| 0.13:0.56
Ge| 0.12:0.01,Nb| 0.11:0.59,Pt| 0.11:0.48,Cu| 0.11:0.01,Al| 0.11:0.03,Mo| 0.10:0.45
Ag| 0.09:0.03,C_| 0.06:0.12,,,,
