0,1,2,3,4,5
Ni| 1.00:1.00,Sb| 0.60:0.02,Ge| 0.50:0.03,Ag| 0.48:0.09,Pb| 0.44:0.12,Bi| 0.43:0.02
Al| 0.39:0.06,Pd| 0.34:0.15,Cu| 0.33:0.02,Cd| 0.28:0.06,Co| 0.26:0.26,Zn| 0.25:0.04
Au| 0.22:0.13,V_| 0.22:0.40,Ta| 0.21:0.67,Zr| 0.21:0.55,In| 0.21:0.06,Fe| 0.19:0.23
Pt| 0.19:0.48,Mo| 0.18:0.49,W_| 0.18:0.50,Sn| 0.18:0.02,Nb| 0.18:0.57,Ti| 0.18:0.34
C_| 0.18:0.21,K_| 0.17:0.26,S | 0.17:0.45,Cr| 0.13:0.23,P | 0.12:0.14,Ca| 0.08:0.02
,,,,,
