0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Nb:1443.6,Zr:1324.6,C_:541.7,W_:411.3,S :388.2,Pt:298.1,P :271.1,Mo:196.6,,,,,,,
Nb:1708.4,Ca:1281.6,Zr:801.0,Fe:554.3,S :512.6,Ti:397.6,P :262.6,,,,,,,,
Cr:10068.4,Nb:3143.3,Mo:1022.3,Zr:634.3,Pt:546.2,S :537.2,Ta:464.6,V_:395.1,P :259.9,Ti:250.3,,,,,
Nb:1965.0,Ti:1883.4,Ta:1303.0,W_:1031.0,S :611.0,K_:369.1,P :254.8,Ni:203.6,Au:158.1,,,,,,
Nb:431.3,Ti:297.5,S :257.3,P :252.9,K_:167.7,,,,,,,,,,
Cr:1154.1,S :439.5,P :250.9,Ta:250.9,Pt:225.2,Mo:179.2,Pb:158.2,,,,,,,,
Pd:2778.1,Nb:2331.3,C_:1082.1,W_:779.8,Ta:466.4,S :395.8,P :249.4,Ca:242.1,K_:237.7,Pt:189.4,Mo:162.6,,,,
Cr:1167.2,Ti:979.7,Mo:651.0,Pt:543.0,Zr:462.7,S :461.3,W_:358.2,K_:286.4,Nb:251.7,P :248.9,,,,,
Fe:1906.1,Mo:1309.0,Pt:795.5,Zr:517.1,S :413.4,P :246.9,W_:220.6,W_:210.3,,,,,,,
Ta:3987.6,In:3103.2,Nb:1941.4,W_:1483.2,Ti:1226.1,Cr:662.0,Mo:608.2,Pt:450.8,S :281.0,P :243.7,K_:204.8,,,,
Pt:416.2,W_:335.7,Nb:317.1,P :243.3,Ti:156.7,Co:152.6,,,,,,,,,
Mo:3635.6,Pt:2565.8,Nb:2226.8,W_:760.7,Ti:607.1,Au:406.9,S :355.2,In:275.6,Fe:253.6,P :242.6,Pb:233.0,V_:218.2,Ta:213.3,Ni:179.7,K_:167.4
Nb:2977.9,Mo:1366.3,Pt:1113.8,Zr:1081.7,Cr:969.4,Ta:641.1,S :525.8,K_:350.0,W_:282.2,P :241.6,,,,,
Cd:7631.4,W_:1339.4,Cr:1326.8,Ti:794.4,Nb:479.7,S :444.3,Ta:387.0,Zr:283.6,P :241.3,,,,,,
Ca:1453.1,Mo:794.7,Pt:640.6,Ta:615.2,Ti:509.4,Zr:443.9,Cr:432.9,Nb:367.1,S :343.9,P :239.1,,,,,
V_:1572.8,Ca:1281.6,Zr:801.0,S :715.0,Fe:554.3,Ti:397.6,K_:327.4,P :238.1,,,,,,,
Ni:1241.1,Mo:877.3,Pt:585.6,Zr:510.5,Pt:416.2,W_:335.7,Nb:317.1,P :231.8,Ti:170.9,Co:159.1,Co:152.6,,,,
Ti:2796.8,Mo:1078.6,Nb:1051.4,Pt:608.0,C_:474.5,Ta:427.0,Zr:375.1,S :368.4,K_:345.1,Fe:276.9,P :230.0,,,,
Nb:1051.4,V_:502.9,C_:379.7,Zr:375.1,S :358.3,K_:345.1,P :229.3,,,,,,,,
Cr:615.6,Zr:615.6,Ti:394.0,Ta:350.4,S :328.3,Pt:258.7,P :228.9,W_:220.6,Nb:211.4,,,,,,
Ti:1316.0,Zr:230.5,P :225.8,,,,,,,,,,,,
Ta:1117.2,Cr:1030.3,Mo:1001.2,C_:777.8,V_:732.0,Nb:718.8,Pt:676.3,P :225.4,S :218.5,,,,,,
W_:1456.5,Mo:1061.5,Pt:832.3,Nb:594.1,Ti:548.6,S :478.9,Fe:374.9,P :223.8,K_:188.5,,,,,,
Al:4648.1,Pd:2542.9,C_:2093.2,Ni:1081.5,Zr:562.7,Nb:506.8,Mo:421.0,S :383.9,Ag:356.0,Co:289.0,Mo:281.5,P :214.6,,,
Mo:839.1,Pt:523.9,Sn:490.7,Nb:430.6,P :213.1,K_:173.3,Ag:172.4,S :163.0,,,,,,,
Nb:1701.8,Ti:612.6,S :280.3,Ca:270.7,P :212.0,,,,,,,,,,
Mo:5194.2,Pt:4102.4,Fe:2510.0,Nb:1417.0,Ti:223.5,P :211.8,Cr:199.6,K_:160.5,,,,,,,
Ni:2444.9,Pd:2343.7,W_:713.7,Nb:496.9,S :493.1,Ti:459.6,Ta:446.1,K_:324.1,Fe:252.0,Zr:239.1,P :211.2,,,,
Pb:924.6,Co:556.1,Ta:339.4,S :253.2,Zr:227.1,Au:214.2,K_:212.9,P :210.6,Ni:152.6,,,,,,
Pd:1524.8,Ni:770.9,Ta:619.6,Cu:308.5,P :210.6,W_:207.1,In:180.4,Zr:172.0,,,,,,,
Mo:2433.9,Pt:1750.3,W_:1148.7,Co:1028.4,Zr:1024.1,S :543.1,Ta:322.7,Cr:314.3,Fe:301.5,P :208.9,K_:174.5,Au:159.1,,,
Nb:1906.8,C_:539.1,S :405.0,Zr:283.9,P :208.7,K_:179.9,Pt:155.1,,,,,,,,
Nb:815.3,K_:422.5,Co:375.2,P :207.5,Cr:202.9,,,,,,,,,,
C_:12834.3,Nb:3465.9,Cr:2315.5,Ti:1085.6,Ta:898.3,Zr:756.4,S :366.5,P :207.3,Au:153.4,,,,,,
Mo:7071.8,Pt:6584.2,Nb:1708.4,V_:1562.4,Ta:896.0,S :712.0,K_:271.9,P :207.1,Au:181.9,,,,,,
Nb:1491.1,Ta:1035.8,Zr:836.8,P :206.2,,,,,,,,,,,
Cr:9358.0,Mo:4988.4,Pt:4437.3,Nb:2336.8,V_:1334.0,Zr:889.5,Ta:534.5,S :488.0,K_:302.7,P :206.0,,,,,
Zr:1713.9,V_:761.6,Ni:695.3,Nb:557.5,W_:463.1,S :409.0,Ta:392.6,Pd:291.3,Cd:261.1,P :205.9,,,,,
Zr:1678.3,Ti:1248.5,Cr:888.8,Ta:887.1,Mo:476.7,Pt:337.7,S :277.2,K_:251.3,P :205.8,,,,,,
Nb:2868.5,Ta:2714.4,W_:1776.7,Mo:591.0,Cr:521.9,Pt:497.8,S :483.0,K_:348.8,Ti:282.9,P :203.3,,,,,
Nb:4808.4,Cr:1022.6,W_:854.6,Zr:694.8,V_:360.4,S :352.0,Ta:335.3,K_:253.5,P :202.8,,,,,,
Nb:3274.6,Cd:3169.5,C_:1003.8,Nb:765.9,Zr:351.0,S :272.9,Ti:270.5,P :202.4,K_:198.6,Pt:193.2,,,,,
Nb:6615.0,Pb:4889.1,Zr:1360.2,Mo:1130.2,Cr:1095.4,V_:627.5,Pt:584.0,Co:298.7,S :229.7,Ag:216.8,P :201.7,Ni:164.1,,,
Fe:4810.9,Au:3899.8,W_:1461.1,Ta:1324.6,Zr:1287.9,Ta:1220.9,Ti:859.5,Cr:757.0,Co:690.7,V_:566.4,S :346.4,K_:279.0,P :201.7,,
Nb:2308.3,Cr:2048.0,Zr:1713.9,W_:463.1,S :306.3,Pd:291.3,P :199.8,Zn:184.9,Ta:167.8,,,,,,
W_:3236.0,Ta:1181.7,Zr:501.4,S :372.1,Nb:262.8,P :196.3,K_:159.9,C_:155.7,,,,,,,
V_:1269.0,Ta:1065.6,W_:344.6,S :315.2,K_:233.0,C_:196.7,P :190.9,,,,,,,,
Mo:3710.3,Pt:2614.0,Cr:2242.4,Nb:2047.4,Ti:1638.2,Co:959.1,Zr:490.2,W_:211.8,P :190.8,V_:185.5,C_:152.3,,,,
Ti:1730.8,Mo:1417.8,Pt:1130.0,Nb:469.0,W_:441.1,S :304.6,V_:214.8,P :190.4,,,,,,,
Nb:4483.4,Zr:893.7,C_:537.3,Pb:522.9,S :385.0,Ta:237.5,Mo:222.7,P :190.3,,,,,,,
Zn:7365.5,Ta:3418.8,Nb:3284.7,Mo:689.8,Pt:567.4,Au:541.8,S :463.0,S :403.8,Ti:395.9,Cr:198.1,P :187.6,W_:177.2,,,
V_:3500.9,Zr:1691.0,Ta:592.4,W_:373.9,S :224.7,Ti:216.8,P :186.1,C_:172.1,,,,,,,
Ta:476.7,Co:412.9,W_:339.3,Sn:294.4,Nb:266.9,S :259.4,P :184.7,,,,,,,,
W_:1001.1,Fe:656.6,S :286.1,Ta:261.2,P :184.5,K_:183.7,K_:167.7,,,,,,,,
Mo:1721.9,Pt:1191.1,Fe:492.8,C_:452.1,S :265.1,K_:246.3,P :184.5,,,,,,,,
Mo:4705.4,Pt:3596.8,V_:2151.1,W_:520.9,S :383.8,K_:224.7,Cr:203.7,P :184.1,Au:153.3,,,,,,
V_:1607.2,Zr:1393.6,Mo:995.3,Nb:951.7,Pt:772.5,K_:487.8,P :183.5,,,,,,,,
Nb:3219.7,Ta:2693.0,Zr:1191.7,S :276.5,K_:222.8,Ti:215.9,P :183.0,,,,,,,,
Ti:1891.1,Nb:533.2,Pt:272.4,Cr:229.8,P :181.8,C_:158.9,,,,,,,,,
W_:2976.6,Zr:498.7,Mo:298.1,Pd:285.7,Pt:245.9,Fe:229.9,Ti:212.1,V_:186.3,P :181.1,K_:162.6,,,,,
Mo:1293.3,Pt:924.9,S :380.6,Zr:296.4,Co:247.9,K_:247.0,P :178.1,C_:177.5,,,,,,,
Mo:1760.7,Cr:1461.5,Pt:1364.5,W_:1217.6,W_:887.6,Ta:287.3,V_:253.7,Zr:184.3,P :177.6,,,,,,
Nb:6372.1,Cr:1391.3,Ta:961.9,Mo:774.2,K_:252.8,P :175.4,S :170.0,,,,,,,,
V_:2782.0,Nb:1188.9,Ti:602.8,S :403.8,K_:383.7,Ta:233.7,P :175.2,,,,,,,,
