0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Co:2776.9,Ta:406.0,K_:378.6,,,,,,,,,,,,
In:3197.7,V_:1531.7,Mo:989.2,S :769.3,Pt:670.8,P :484.8,Ta:408.1,K_:375.8,Zr:340.1,W_:267.0,Ti:261.0,Au:231.9,Cr:174.0,,
Mo:4516.0,Pt:4055.2,Nb:1965.0,Ti:1883.4,Ta:1303.0,Ca:1186.0,W_:1031.0,S :611.0,K_:369.1,P :254.8,Ni:203.6,Au:158.1,,,
Nb:6936.0,W_:4146.8,In:3197.7,V_:1531.7,Mo:821.2,S :756.2,Pt:637.6,K_:359.6,Zr:340.1,Ti:261.0,Cr:174.0,Au:167.5,,,
V_:2886.5,Nb:1551.8,S :436.1,In:402.0,K_:355.1,Mo:165.7,,,,,,,,,
Ta:1928.8,Zr:1752.3,Ni:1541.9,Fe:1283.3,W_:974.9,S :621.4,Ti:401.7,P :364.5,Cr:357.9,K_:351.1,Pb:249.6,Pt:193.5,Au:191.6,,
Nb:2977.9,Mo:1366.3,Pt:1113.8,Zr:1081.7,Cr:969.4,Ta:641.1,S :525.8,K_:350.0,W_:282.2,P :241.6,,,,,
Nb:2868.5,Ta:2714.4,W_:1776.7,Mo:591.0,Cr:521.9,Pt:497.8,S :483.0,K_:348.8,Ti:282.9,P :203.3,,,,,
Cr:3603.9,Zr:996.3,V_:574.0,Ti:372.8,K_:348.2,Ta:298.1,C_:170.3,C_:170.0,,,,,,,
Ta:2178.1,Ti:519.4,S :371.1,Nb:350.4,K_:345.9,Ti:306.2,Co:290.8,W_:258.9,Zr:237.1,,,,,,
Ti:2796.8,Mo:1078.6,Nb:1051.4,Pt:608.0,C_:474.5,Ta:427.0,C_:379.7,Zr:375.1,S :368.4,K_:345.1,P :230.0,P :229.3,,,
V_:2228.3,Nb:1110.5,Zr:372.4,S :360.3,K_:340.7,W_:319.4,Ti:177.2,Ta:160.1,,,,,,,
Nb:2197.4,W_:1581.3,Fe:584.4,Zr:573.7,S :439.1,P :354.1,K_:339.1,V_:297.1,Mo:271.0,Pt:229.6,,,,,
Nb:3657.0,Ni:529.2,S :490.7,Mo:487.4,K_:337.6,Pt:313.0,P :289.4,Ti:282.3,Zr:241.6,Al:240.3,,,,,
Nb:2893.5,Ta:625.0,W_:508.1,K_:337.1,C_:188.4,Mo:164.1,,,,,,,,,
Ti:1891.1,Zr:1654.3,Ta:854.1,V_:610.0,S :526.4,P :385.2,K_:334.7,Pt:272.4,,,,,,,
Mo:698.2,Co:579.4,Pt:428.0,Zr:394.4,S :341.9,K_:330.9,W_:325.3,,,,,,,,
V_:1572.8,Ca:1281.6,Zr:801.0,S :715.0,Fe:554.3,Ti:397.6,K_:327.4,P :238.1,,,,,,,
Ni:2444.9,Pd:2343.7,W_:713.7,Nb:496.9,S :493.1,Ti:459.6,Ta:446.1,K_:324.1,Fe:252.0,Zr:239.1,P :211.2,,,,
C_:549.4,Al:445.6,K_:319.7,Ta:209.7,S :187.3,Ni:170.8,Ti:164.8,,,,,,,,
Pd:2059.0,Co:1655.2,W_:637.6,Nb:390.8,Cr:373.8,S :339.3,K_:317.7,Zn:307.8,Zn:293.4,In:261.9,Cd:246.2,,,,
Pd:2778.1,Zr:1022.8,Ag:417.4,S :382.8,K_:316.7,Ta:292.1,Pt:282.4,Mo:251.0,P :175.2,,,,,,
Fe:1906.1,Nb:800.6,Pt:795.5,Ta:568.4,S :472.4,P :446.6,K_:315.7,W_:210.3,Zr:182.0,,,,,,
Fe:3564.7,Cr:2236.7,Mo:723.9,Co:611.9,S :600.7,W_:518.2,V_:497.1,Pt:398.5,Nb:395.0,K_:315.0,P :271.2,Zr:230.5,Ni:167.6,,
Nb:2212.8,W_:925.2,Mo:682.5,Pt:472.8,K_:303.4,Ta:274.7,Zr:167.0,Au:157.3,,,,,,,
Cr:9358.0,Mo:4988.4,Pt:4437.3,Nb:2336.8,V_:1334.0,Zr:889.5,Ta:534.5,S :488.0,K_:302.7,P :206.0,,,,,
Nb:3133.7,C_:641.6,Ta:322.9,Ni:308.0,K_:291.8,S :186.8,Zr:162.6,,,,,,,,
Cr:1167.2,Ti:979.7,Mo:651.0,Pt:543.0,Zr:462.7,S :461.3,W_:358.2,K_:286.4,Nb:251.7,P :248.9,,,,,
