0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Mo:2163.7,Cr:2021.6,Pt:1703.3,Zr:724.3,S :512.1,V_:403.6,V_:374.3,Ta:353.5,,,,,,,,,,,,,,,,
Cr:2000.1,Nb:1345.7,V_:1273.5,Au:463.8,Ca:285.0,Co:273.5,S :204.9,Ta:199.8,,,,,,,,,,,,,,,,
Cr:1898.3,Nb:812.1,Zr:628.1,W_:625.3,Ta:293.1,Ti:190.2,,,,,,,,,,,,,,,,,,
Ta:2446.6,Cr:1895.9,V_:798.3,Co:721.2,W_:536.2,Mo:508.7,Pt:506.9,Nb:356.1,S :318.4,Zr:251.5,K_:172.2,In:165.9,,,,,,,,,,,,
Fe:2884.0,W_:1758.4,Cr:1735.5,Ti:602.4,Mo:546.6,Ta:467.5,Nb:411.7,S :391.1,S :346.1,V_:213.0,V_:186.3,Co:171.7,,,,,,,,,,,,
Cr:1724.0,Nb:985.7,Ti:493.7,Zr:438.9,Ta:261.6,,,,,,,,,,,,,,,,,,,
Mo:4839.7,Pt:3616.1,Zr:2297.5,Nb:1716.4,Cr:1705.9,V_:1670.3,K_:512.2,S :245.2,,,,,,,,,,,,,,,,
Nb:3486.3,Cr:1679.4,Fe:1318.2,V_:798.9,Au:210.7,K_:176.1,,,,,,,,,,,,,,,,,,
Pb:2050.9,Cr:1674.7,Ta:1065.6,Ti:986.0,Mo:810.3,W_:722.4,V_:328.1,Ni:232.2,Co:226.8,Co:212.7,,,,,,,,,,,,,,
Mo:1986.8,Cr:1636.6,Nb:1406.1,Pt:1153.0,Co:714.8,V_:481.2,Zr:357.3,S :230.4,Ta:191.3,Ta:158.3,S :157.6,,,,,,,,,,,,,
W_:2037.7,Cr:1627.5,Ta:233.8,K_:178.0,Au:153.1,,,,,,,,,,,,,,,,,,,
Fe:1886.8,Cr:1621.9,Zr:1192.1,V_:1102.9,Ti:1000.3,W_:664.0,S :388.7,Mo:336.0,Ta:319.0,S :293.0,Pt:271.0,Nb:238.1,Au:154.1,,,,,,,,,,,
V_:2732.3,C_:1654.6,Cr:1580.6,Nb:1461.8,W_:461.9,Ti:449.9,Zr:337.5,K_:283.1,S :181.3,Au:166.2,,,,,,,,,,,,,,
Cr:1512.5,Nb:1096.4,Zr:420.2,W_:408.3,C_:331.0,,,,,,,,,,,,,,,,,,,
Cr:1469.3,Zr:1112.8,V_:1071.6,W_:977.6,Ta:456.7,Ni:226.3,S :151.7,,,,,,,,,,,,,,,,,
Cr:1461.5,W_:1217.6,Ta:287.3,Zr:184.3,P :177.6,,,,,,,,,,,,,,,,,,,
Nb:6372.1,Cr:1391.3,Mo:774.2,Pt:604.5,Ta:330.7,S :249.4,K_:195.0,W_:183.6,P :175.4,S :170.0,P :157.8,,,,,,,,,,,,,
Nb:1811.2,Cr:1386.4,Ta:1302.1,W_:1285.6,Mo:897.5,Pt:694.3,S :620.5,Pb:266.2,,,,,,,,,,,,,,,,
